residence_id,LOCATION,TYPE,province,city,full_addres
67,"(63.66306513649107, 16.366129897664116)",CITY,Khuzestan,Ahvaz,"(147, 126, 'uILIOTBA', 'jqGlDs')"
68,"(57.835062361307635, 21.113393759742504)",CITY,Markazi,Arak,"(25, 35, 'BJZU', 'ABVOuvAnkEwMwk')"
69,"(25.817241709403305, 61.15429541478725)",SUBURB,Hamadan,Hamadan,"(121, 72, 'aoBCrQ', 'AurQ')"
70,"(6.321968153450264, 96.35331947132985)",CITY,Kordestan,Sanandaj,"(200, 41, 'mqOyVepbG', 'XqNtnwzFORAO')"
71,"(77.34990669193972, 58.759514734919335)",CITY,Markazi,Arak,"(101, 5, 'vOqdgkKTl', 'pe')"
72,"(2.858990623849089, 90.98640140185597)",SUBURB,Qazvin,Qazvin,"(46, 64, 'J', 'JV')"
73,"(10.37803461185428, 12.593751390767338)",SUBURB,azarbayjan-e Sharqi,Tabriz,"(82, 95, 'mKD', 'JVXlrMyoHlDnv')"
74,"(84.46171001992766, 60.518232114538975)",SUBURB,Mazandaran,Amol,"(75, 134, 'grAEZODcEfcVBX', 'wcAY')"
75,"(12.73169739777128, 28.453899308292453)",SUBURB,Esfahan,Esfahan,"(195, 115, 'kJoIMLRXXZUf', 'cZoaT')"
76,"(87.70603990626971, 61.05594658132814)",SUBURB,Golestan,Gorgan,"(39, 164, 'KgXJJWg', 'EnVBiYhBscd')"
77,"(98.79461117604443, 9.047246179980784)",CITY,Tehran,Malard,"(26, 93, 'cXvPhjIisJe', 'NGzvCq')"
78,"(5.226302945420258, 95.94157142122324)",SUBURB,Tehran,Pakdasht,"(123, 133, 'unzrCwQkW', 'OVUaBSNnuHr')"
79,"(92.6380241671552, 44.860348088278265)",CITY,Kordestan,Sanandaj,"(139, 128, 'aZDlGTrAZMTXfG', 'toxRz')"
80,"(81.7075434248207, 84.57859939682483)",SUBURB,Golestan,Gorgan,"(65, 28, 'vJGTqsHA', 'k')"
81,"(23.988864918595244, 12.417788286078357)",CITY,Qom,Qom,"(68, 71, 'TCTRq', 'WDBfa')"
82,"(98.99358798374726, 4.736652105767403)",CITY,Mazandaran,Sarta,"(190, 58, 'HhNORKjkKelvoFo', 'xFWXtuOV')"
83,"(90.09414374105327, 50.3364824214637)",CITY,Esfahan,Khomeyni Shahr,"(180, 134, 'CodtfTlSLVWG', 'ott')"
84,"(54.731600800406575, 84.09574101293714)",CITY,Mazandaran,Sarta,"(116, 60, 'GSzetFWkAcPhBe', 'LQOxHsmpCJx')"
85,"(6.470575088951902, 89.55945603483775)",SUBURB,Tehran,Pakdasht,"(95, 39, 'GxQlTrTAqvOYGN', 'JgCzSAQ')"
86,"(45.459124222259994, 99.81019857664968)",SUBURB,Alborz,Karaj,"(1, 105, 'hRuAwu', 'BeQ')"
87,"(29.462730331725574, 26.847550658304044)",CITY,Esfahan,Najafabad,"(124, 18, 'XPhVlQlZLabY', 'ojhdneSwJ')"
88,"(88.11488101627828, 86.28819837185905)",SUBURB,Qazvin,Qazvin,"(54, 117, 'XiMIdE', 'yTzRJC')"
89,"(82.48325111280141, 48.3318259795884)",SUBURB,Esfahan,Khomeyni Shahr,"(200, 193, 'hvwlootpZPjdB', 'oazrXYSDawDG')"
90,"(22.47809917505782, 11.895595645316082)",SUBURB,Markazi,Arak,"(101, 148, 'CuoDmSHTrF', 'eDWAzjSEQN')"
91,"(86.49595400126574, 25.91696139927706)",CITY,Kerman,Kerman,"(135, 52, 'uPQYG', 'XTPOt')"
92,"(0.47815044171817256, 60.30962779846306)",CITY,Lorestan,Khoramabad,"(60, 176, 'JLW', 'RmRnMTKzyml')"
93,"(56.662234847352444, 78.57433377798671)",SUBURB,Esfahan,Najafabad,"(111, 158, 'oBEPzKJVCVKEuP', 'ZbgHZEqYL')"
94,"(42.25633304081916, 79.6362237404729)",CITY,Zanjan,Zanjan,"(99, 160, 'tTPBPVpbsPD', 'GuEWXXWNkLyxV')"
95,"(81.38911143713717, 74.39944832397862)",CITY,Yazd,Yazd,"(74, 97, 'NlBaEFglafWJfM', 'MBM')"
96,"(46.64485793117088, 82.32056523686946)",CITY,Mazandaran,Qaem Shahr,"(182, 98, 'JMxvMInzpthrx', 'StyHBXpGZHaNmuJ')"
97,"(28.848456289570002, 76.74677416712032)",CITY,Mazandaran,Amol,"(103, 77, 'Q', 'OUALCQy')"
98,"(51.144971853915585, 21.976449894320915)",SUBURB,Khuzestan,Madan,"(188, 9, 'PDGDnghJZ', 'riNhGxGumX')"
99,"(68.62651921363498, 61.79098559809953)",SUBURB,Tehran,Pakdasht,"(181, 41, 'TpgbiXAXuq', 'RSbJ')"
100,"(62.355272058355325, 84.30356548268367)",SUBURB,Ardabil,Ardabil,"(13, 38, 'SjEsrShumjgfjVe', 'GmiDekdf')"
101,"(94.08741676738815, 0.9939285371772799)",CITY,Fars,Shiraz,"(167, 79, 'PccAGcYXdagG', 'IiEJDUNucXacRF')"
102,"(77.33175448499256, 79.54224832754954)",CITY,Markazi,Arak,"(92, 74, 'gcbBdfVrdhNaeeP', 'xHVpF')"
103,"(64.2592630722622, 64.21189625738728)",SUBURB,Markazi,Arak,"(60, 21, 'UNWOApiBeFHOmmD', 'NSOp')"
104,"(54.61421167001333, 7.379486280543867)",CITY,Ardabil,Ardabil,"(157, 189, 'wyZtR', 'Bsl')"
105,"(73.48338721402864, 88.78366298568216)",SUBURB,Mazandaran,Babol,"(32, 39, 'EZlkUCVUAnkw', 'ALIqTwIJuthGQ')"
106,"(28.450559591572045, 96.99535995740356)",CITY,Mazandaran,Qaem Shahr,"(134, 138, 'HuET', 'F')"
107,"(89.39394436486936, 24.539110096522123)",CITY,Ardabil,Ardabil,"(97, 58, 's', 'PfnqnsXV')"
108,"(23.574881273330817, 3.7324768865642843)",CITY,Markazi,Arak,"(51, 134, 'vi', 'KPq')"
109,"(15.911126154500188, 90.96355085425265)",CITY,Khuzestan,Madan,"(179, 95, 'vverB', 'hHc')"
110,"(68.96412088635842, 76.34343671257851)",SUBURB,Hormozgan,Bandar Abbas,"(82, 84, 'RHXnSYPfiI', 'FrfiBWAukk')"
111,"(59.90563662970059, 98.2544474039958)",CITY,Mazandaran,Babol,"(71, 93, 'iXfafHNASPdjXFk', 'oubbj')"
112,"(21.660371500384535, 73.98206971857287)",CITY,Qom,Qom,"(131, 68, 'eyL', 'waYhEkftL')"
113,"(88.4943045418217, 24.948956286987556)",CITY,azarbayjan-e Sharqi,Tabriz,"(138, 187, 'HaWlXUHqn', 'lhzAdYmRLwTsvwK')"
114,"(35.34693287851827, 8.9205263280152)",CITY,Khuzestan,Madan,"(114, 200, 'hxqbU', 'k')"
115,"(22.684446564111916, 37.818104368686846)",CITY,Khuzestan,Dezful,"(4, 9, 'mPfwULJOB', 'lhMqSrPY')"
116,"(72.2439185752153, 67.62397954968863)",SUBURB,Tehran,Tehran,"(140, 78, 'vkbPjEDiWjtR', 'OkeRLrCmuXzgXp')"
117,"(99.63087293572417, 42.793328448129955)",CITY,Golestan,Gorgan,"(72, 9, 'sm', 'KvlCFvcpdSYpue')"
118,"(72.81725509126011, 57.42745356470762)",CITY,Khorasan-e Razavi,Sabzevar,"(194, 128, 'vOVAHHgSIYsIjdp', 'jwpwaJsYoF')"
119,"(95.06508135258895, 20.75772357688921)",SUBURB,Golestan,Gorgan,"(161, 59, 'tS', 'ucXlV')"
120,"(13.556611123960295, 58.97503340059167)",SUBURB,Qazvin,Qazvin,"(128, 134, 'RgBUK', 'CSLFbmffc')"
121,"(27.398715459739087, 85.0779524090739)",SUBURB,Kordestan,Sanandaj,"(19, 43, 'QELrmdolruFTB', 'IxMVrcEqCQaqIx')"
122,"(60.16641964026168, 56.961534219900415)",CITY,Khuzestan,Ahvaz,"(176, 84, 'tn', 'xlIZfPQvHmAg')"
123,"(7.117312071586213, 79.54348732207039)",CITY,Mazandaran,Babol,"(53, 87, 's', 'JGqbZjZiQT')"
124,"(54.78880902906589, 53.46078100822867)",CITY,Tehran,Eslamshahr,"(95, 156, 'RiiqgOatiu', 'FM')"
125,"(71.0238145452382, 36.75033234636126)",SUBURB,Esfahan,Kashan,"(170, 62, 'ZOKhPW', 'QAAzgwhoAmGJE')"
126,"(60.03949176634206, 66.16174742060417)",CITY,Alborz,Karaj,"(34, 143, 'XYxrlPQiZb', 'vscHXSpwivdiUF')"
127,"(21.41397518680779, 64.75022215363762)",SUBURB,Mazandaran,Amol,"(186, 126, 'GfyxLMu', 'kqCoVYbC')"
128,"(23.527885822268967, 69.34310656459061)",CITY,Hamadan,Bahar,"(33, 110, 'ean', 'vT')"
129,"(38.178504432359226, 38.55837818981506)",SUBURB,Esfahan,Khomeyni Shahr,"(122, 30, 'LHBa', 'YMLsNePNaEradEX')"
130,"(36.57643427687185, 76.9281272738781)",CITY,Hamadan,Bahar,"(16, 89, 'eKhgtNGBx', 'zQL')"
131,"(34.82930659738061, 21.138701219355806)",SUBURB,Lorestan,Khoramabad,"(119, 167, 'RKLsjdiVFMLKPv', 'lCLVQuhzQGdRW')"
132,"(6.638673284169139, 51.40533523876497)",SUBURB,Kordestan,Sanandaj,"(79, 161, 'Ar', 'ThWylqsib')"
133,"(24.588703670357447, 29.84414211548181)",SUBURB,Tehran,Eslamshahr,"(114, 183, 'ke', 'c')"
134,"(90.63762293245935, 17.638052163760243)",CITY,Khuzestan,Dezful,"(143, 185, 'qhVGPV', 'CiamIZeFZTZEXi')"
135,"(76.1973818813027, 21.67755394017885)",CITY,azarbayjan-e Gharbi,Orumiyeh,"(35, 86, 'a', 'Bc')"
136,"(72.02277962027549, 42.960375672618554)",CITY,Mazandaran,Sarta,"(140, 127, 'LqIgKB', 'pQdhc')"
137,"(92.60724260370229, 95.40551001415298)",SUBURB,Kerman,Kerman,"(63, 50, 'mJ', 'MBbqIBEE')"
138,"(2.1271502460253666, 29.17876995955586)",CITY,Alborz,Karaj,"(88, 97, 'paAbnEVoXpcVQ', 'uqlJ')"
139,"(38.814312089789894, 81.0128565406697)",SUBURB,Kordestan,Sanandaj,"(3, 37, 'aganpzudkBdKczJ', 'mWzEKUXIWs')"
140,"(41.566567624986085, 32.74653760496569)",CITY,Kermanshah,Kermanshah,"(184, 142, 'NJQjhPHeRMaT', 'qDkZIYztn')"
141,"(94.52053905257235, 58.12149508399942)",CITY,Esfahan,Najafabad,"(4, 138, 'Lqj', 'geiIp')"
142,"(75.00686405006395, 51.455865825772186)",SUBURB,Fars,Shiraz,"(39, 136, 'Eexmu', 'riTQgydgy')"
143,"(25.05852615038989, 22.69966697400533)",SUBURB,Markazi,Arak,"(176, 142, 'JhKwTqroLCEchUD', 'neqUSvHsg')"
144,"(12.48499427673001, 64.15168176261847)",CITY,Tehran,Malard,"(80, 146, 'pFQjtnfM', 'RqClnXWNlmteXi')"
145,"(37.57175408157364, 98.21421348651121)",CITY,azarbayjan-e Gharbi,Orumiyeh,"(163, 116, 'XVAIQlIlxZXi', 'DyNgMEnYbmQgicZ')"
146,"(91.73132057338236, 87.8968472552602)",SUBURB,Hamadan,Bahar,"(149, 182, 'ZUUN', 'aQXHkHaxddKXFU')"
147,"(86.59466136251052, 60.95434235502314)",SUBURB,Khuzestan,Ahvaz,"(190, 8, 'iVebCz', 'RNvzY')"
148,"(67.01643375191053, 53.734300151791224)",CITY,Alborz,Karaj,"(126, 85, 'JUCwfqbvhcLP', 'NPXgOyxkT')"
149,"(64.4005527385557, 13.742835808912456)",CITY,Hamadan,Hamadan,"(162, 43, 'fHrKf', 'GdNyHsWu')"
150,"(98.63237064849292, 73.18407649953022)",CITY,Alborz,Karaj,"(180, 82, 'uc', 'qsMKEiNmwsJ')"
151,"(25.168935873933307, 56.278266321446445)",CITY,Kermanshah,Kermanshah,"(92, 186, 'JUxHUyUUsSxck', 'FuLzjdzWNMNYoAI')"
152,"(26.72373300547247, 94.54503709018582)",CITY,Tehran,Pakdasht,"(10, 78, 'tBKZFFw', 'ssqlheA')"
153,"(29.97699173697781, 61.703807448648526)",CITY,Ardabil,Ardabil,"(49, 194, 'rpzkEoOZPH', 'siMUyDnR')"
154,"(54.72476544427032, 59.26635229899557)",SUBURB,Esfahan,Esfahan,"(45, 65, 'kzllqIBBXSFpZH', 'FxZPtmNVhw')"
155,"(57.574428116258794, 56.484532686023414)",CITY,Kerman,Kerman,"(124, 88, 'HHKLqG', 'zEaQVXWLamYs')"
156,"(17.980952168292518, 38.36386617194377)",CITY,Khorasan-e Razavi,Sabzevar,"(168, 137, 'ZHu', 'pIXVshrXQ')"
157,"(26.001842856854996, 42.292243492050154)",CITY,Hamadan,Hamadan,"(61, 41, 'aZuDsxsX', 'LQSBaGrsKmL')"
158,"(32.35727441279155, 35.00441084622502)",SUBURB,Hormozgan,Bandar Abbas,"(115, 177, 'PhGMYSpOWXyrB', 'DSJ')"
159,"(72.95385538475063, 47.782060232297965)",SUBURB,Tehran,Pakdasht,"(91, 121, 'd', 'UAoifJHstMyfS')"
160,"(68.60592989524301, 94.82011177065314)",CITY,Tehran,Shahriar,"(182, 176, 'sBdSJNHx', 'nVnzMMxaqHuY')"
161,"(16.017868514330424, 32.34127991933953)",CITY,Tehran,Shahre Qods,"(78, 13, 'VG', 'qpq')"
162,"(87.28066142269095, 83.63748697174933)",CITY,Tehran,Pakdasht,"(195, 25, 'GaDugcezwZ', 'Bziwenlh')"
163,"(64.33785446088172, 29.256569053001037)",CITY,Lorestan,Borujerd,"(103, 99, 'ogEeqkht', 'ntdo')"
164,"(14.031765656291661, 23.315190668438866)",SUBURB,Khorasan-e Razavi,Mashhad,"(174, 104, 'rsxLyKjNku', 'MIiqS')"
165,"(42.16879473029221, 70.92076909741266)",SUBURB,Esfahan,Khomeyni Shahr,"(139, 141, 'rMFfc', 'gwvmorf')"
166,"(0.7342393186963947, 41.17538512420036)",CITY,Kerman,Kerman,"(53, 40, 'dUhL', 'eGkA')"
167,"(52.9098593255248, 50.49553856914135)",CITY,Tehran,Shahriar,"(154, 92, 'sp', 'IptoO')"
168,"(11.14000044186907, 2.439204808189499)",SUBURB,Kordestan,Sanandaj,"(93, 153, 'TPtDwiBRoaigFMG', 'clNupxQXRORm')"
169,"(37.87636007618259, 5.026752644939359)",CITY,Sistan va Baluchestan,Zahedan,"(2, 181, 'WwJlsyF', 'iwwqM')"
170,"(50.97997078098941, 28.4835097166371)",CITY,Kerman,Kerman,"(18, 47, 'dBMZJSJv', 'NyaCtBEdq')"
171,"(3.0804631121275627, 42.41147693495074)",SUBURB,Lorestan,Borujerd,"(171, 75, 'FEhtLejutE', 'W')"
172,"(54.23504022571911, 49.054609401861846)",SUBURB,Khuzestan,Dezful,"(95, 126, 'KIMLrwHcU', 'NGJECvmvnHIrmB')"
173,"(19.993052842155024, 62.83607514755338)",SUBURB,Tehran,Tehran,"(155, 18, 'oBbsanIWPsKvca', 'idnOUjnr')"
174,"(52.24097012481798, 46.1985070206836)",CITY,Khuzestan,Madan,"(184, 154, 'upWB', 'AqFPu')"
175,"(50.417085827866245, 48.960305799578705)",SUBURB,Khuzestan,Madan,"(55, 25, 'kHIiSzJct', 'STCYK')"
176,"(98.79328132573569, 5.121000456006131)",CITY,Gilan,Rasht,"(60, 62, 'NEornUmWhRxi', 'j')"
177,"(52.28935214599304, 80.68206523438091)",CITY,Kordestan,Sanandaj,"(52, 184, 'vAHpuPm', 'LXZhQolrL')"
178,"(65.11413288844835, 58.457785755231384)",CITY,azarbayjan-e Gharbi,Orumiyeh,"(87, 122, 'e', 'miYjnPUXdn')"
179,"(64.6435735286112, 8.345721883094882)",CITY,Esfahan,Khomeyni Shahr,"(108, 44, 'MABSVbvWMxHqc', 'JkkVeFe')"
180,"(62.20924328198954, 42.30192627543001)",CITY,Tehran,Malard,"(130, 100, 'lULPeU', 'LPPB')"
181,"(49.11284599102231, 70.14181813917126)",SUBURB,Khuzestan,Ahvaz,"(108, 66, 'MqgRfnItXnJb', 'xjAwoWPxeAXnm')"
182,"(2.985288118757201, 1.7326054040735839)",CITY,Tehran,Shahre Qods,"(15, 184, 'RoasPSf', 'HsvExA')"
183,"(77.71955533711468, 91.04776420759066)",CITY,Markazi,Arak,"(192, 37, 'ZQeYagIwLUFWwM', 'Wa')"
184,"(99.89300145639659, 66.57522558758409)",SUBURB,Tehran,Malard,"(179, 198, 'jAcgDPcCTC', 'gVzlSXkGi')"
185,"(32.30647569345587, 67.08245607243975)",SUBURB,Zanjan,Zanjan,"(156, 133, 'BOReEABOeb', 'ZKPbKkWO')"
186,"(83.71850248539934, 23.86232142132576)",SUBURB,Khuzestan,Ahvaz,"(133, 39, 'CPeTzcgS', 'VysAg')"
187,"(35.20065874275774, 56.19745593274891)",CITY,Esfahan,Khomeyni Shahr,"(147, 19, 'lhVoGBwWn', 'iLqnQOCkQZfRiZ')"
188,"(56.910066146070825, 58.25735272838891)",SUBURB,Qazvin,Qazvin,"(146, 91, 'GuCITj', 'im')"
189,"(33.54690277919894, 99.12996058621715)",SUBURB,Khuzestan,Dezful,"(186, 20, 'RMIjuSLkhWVXm', 'rVUZyTiYPFIqdx')"
190,"(5.859504832173257, 22.783789007873466)",SUBURB,Esfahan,Najafabad,"(185, 24, 'r', 'yZsUZbRYO')"
191,"(76.81116482931154, 65.96749454114064)",CITY,Khuzestan,Ahvaz,"(81, 44, 'qdrimW', 'pvbJOxJvxvB')"
192,"(51.16749189762412, 31.432085326034798)",CITY,Tehran,Pakdasht,"(58, 107, 'dCZbbPp', 'vPJ')"
193,"(15.248741720617875, 2.029486402771241)",SUBURB,Hormozgan,Bandar Abbas,"(103, 14, 'ZijAhzUZbsKwq', 'EWoEmlBmnsDdf')"
194,"(72.19475006392322, 32.899229608152694)",CITY,Esfahan,Esfahan,"(114, 193, 'pxYJaMDm', 'GCmdtnrzZgIsS')"
195,"(39.23818079500945, 24.854758919594076)",SUBURB,Sistan va Baluchestan,Zahedan,"(35, 77, 'OuXaWcBGGFuCtSz', 'sjxcupTujpDNs')"
196,"(18.017758513974012, 73.75714691722108)",SUBURB,Golestan,Gorgan,"(184, 7, 'qMv', 'lEreODsoQcvk')"
197,"(57.740119761885836, 33.13959363457406)",SUBURB,Esfahan,Kashan,"(20, 52, 'XFJbKAzrF', 'CdxEmgHNtrjSdPC')"
198,"(38.22219261411364, 22.634735114676108)",CITY,Zanjan,Zanjan,"(93, 190, 'EZhHvzjWItuE', 'ZvbMMoJamMvBKOL')"
199,"(95.96821935383088, 98.90796625557104)",CITY,Qazvin,Qazvin,"(57, 133, 'IiNV', 'hM')"
