EXPLANATION,START_DATE,END_DATE,GUEST_ID,RID
hYQxaXlIVMMESZfNgBlbCOAJhUTLxLlZGyLyDluFOEOwAjODEIavTYIOQkHQsMwQMdCnDSAGuSnrbuql,1960-02-24,2012-08-01,4233880031,1992
xvvnInLpTJkpS,1983-01-31,2001-01-28,6958983151,2263
AieUjygPfQtnjkoFGUnRYVWYEqouyyYoWXoIJMFOsipHmKSAtvhPGWYs,1992-04-14,1998-09-09,3568444751,4525
ZsVMylPONwbaWVdkrwaWqKwjRkU,1962-04-29,1995-12-31,5254902106,1479
NszKRGqIhpXAAwPSMFSeLHWohllpKNKqXvPZFQwRhwzsVzeKKlgEiGOSLcnTClnx,2019-01-12,2021-08-18,9229355262,976
RVCNrlfAbuxNHwEPeedxcwgAaEOShfBgSsPvFcyHbhpABl,1998-11-10,2022-11-28,9420000694,932
OWfuCHPlrrrPMJjbvvYYmyymNyLRnRjiPcyUgbFrFezhazvSZgVCGOuWiuvVwMmrZFuOTOCyF,1971-09-09,1995-07-03,5502782831,3668
DtEyYYQQfKBhebruLXoIfVBKLrwJVzIpyqNCLJrKlhnahHXITpUCaIbDOaNuissJCxizlNmhqaUnzNvQNbBhoInHbPlOksX,1985-03-09,2015-01-03,7958471373,2520
yLXDdQRDYpyhIpcsMXKVBGy,2006-08-05,2010-05-22,1507107368,2831
PxxWSbXkFMMMzgYTaYtjKefFtu,1986-04-10,1987-06-14,9971102460,1364
FntypmOGtQOROa,2018-11-14,2020-08-03,1502703849,4364
IksGhlsWrqYbYZfzLyqURkslGiBUaqHiJtsVHDqCcYaBaLHaTPJYtIRrcvwSalWJOwQUBUty,1971-02-19,2016-08-06,8846830700,1705
mlKMMTxNKAWNPVCDPBNVx,2008-01-25,2019-06-16,3019351859,2317
kAeLePTkOftyrRiQEoTjZhRzMQBLKBLxEMvbzYYNjOVQOgQpRMCUbCjFLBWKjablwAkH,2002-09-07,2007-10-24,5623810797,2773
qnRFYPyKtHoziHJRWhOhjDgJmBOpsAQvkSQOmOUiRmtKOECFePBdQnRvPocCjciIqxLsrelBnAjXRjvXrXcszcPwJuc,1992-02-05,2008-08-25,7961010831,2114
zLEjDVYtvxugD,1996-07-08,2023-02-04,5091470075,980
oYiNNuOTgfrRFHNpQVRMhjpPLLrMdrHETrzvkuFJXYMNtjLTOvhqLaDgj,1994-10-20,1996-09-02,0924386348,3128
maxHZxRtUTrSPmyzUVpJeLvuMaWC,1958-06-30,1961-05-16,1414694451,2270
IuDrmAeaehoxIhLVoYUDFPpZvURLZbHEAqJdHQOUaRvtRqEdAZCqeWGkQad,1987-12-31,2008-04-10,3308091563,4532
bSyGDQolyhD,1982-10-22,1995-07-29,0056995500,4850
GKCanagFiAUFVbXjeIpJBJ,2022-10-22,2022-12-21,7251855317,2840
FljhynTwOJUgZhLoXookUdoEGTNcR,1969-03-01,1993-10-28,4568030571,1748
RKkDghGKKA,1965-11-22,1976-01-27,6481440454,4899
VODiCEaKmGuQMFGNjZRhVEgHPLDTaSIQZBwos,1956-09-11,1971-04-25,8745390740,1511
ylnGHXacLHRzGlSsZNXbuvzBBLcStCExpWPFWOIBQlBmBHHoBrpFOnllBEtgusWvGYmKOwrHHmXOXgEUNXlMERRPNCIWTBzI,2007-01-22,2016-05-27,0869566763,1966
lJOTPCwiASnyrTYjeLvWGrQUutcuTAkgkGuIGOmyDN,1986-10-04,2013-08-23,6542949050,3893
OvnKGedymsUugpzAjzlZjEsEZcGUyrqqImpWkTZGzCeaEdHDHpWlDhjZFNEwdDqiCxrXNyZiACWkEuDOjyTNejLUwL,1950-04-15,1996-09-19,9819942015,2425
CgegVMSvUAoqQqVmPtqutzjO,1996-07-27,2018-08-14,1623244634,1569
qXNfXXaVVtxVZaBagyHQkzEuTTSqsuvoOZuAIiciMqCTFEwlnbXPQGEqrXfBQYKCuNQnWRilPTwsXVEqOjHBKhmGZDojPDOb,1973-05-06,1976-01-13,8672782675,1805
IwCvIUysYCgxgzeVPmdUQL,1971-05-17,2003-05-22,3346920029,960
FaQQvKzeHulfRstEEcIjmNEMPkpbFSHAknmPJBcFkzsAsoJxmspIhkRiUTHmshOgxaChFOPTKDnXrbqBKKoTzMcdd,1951-06-13,1965-07-11,8627309085,3328
owUrrXKwEgkUvuYDunbnAlBvJEmXNZAanPJnhjEKwunorwkrpvNnIOprXukXsHmmEp,1959-07-14,2004-10-17,0295643627,1431
YtRwPzGrYBOwXuQDTXwkyPOTWylSXoYVqBFrFEagRBVFOoNpbclhFwGPRR,2020-07-09,2023-06-05,5489008193,2429
SQOlPdfhmgYxhcBBEtgjPNfTHBagkYArJGPnO,1957-08-08,1997-04-24,7232848300,847
hTIjNKeXpCRyAxHGWmSnHFURcOcaOQCoraMBqQETEoVTNjXbHsOVuKExpcAVeTSRLhOZJBzxJometWKQSAxXSTqquGnLvUZz,2001-03-17,2018-09-27,9797844865,649
zDecUqoIuwoyunOPRfspCNNCVhOWLeRTRJwcnEiZBgUTXziiEKXkTuzWyIKRbgkICKfISwPJaMlKUd,1990-04-02,2018-10-03,3362740312,3180
GArbOKeGOFYBjznKPJXyLrnttcqWuaSyIMEABxqxKQFZggpugnzslJDBUyPimvnsHBtRzWhjRxMTpRbrLO,1960-09-23,2009-10-04,0082062569,270
MwWQcJDwrNJsVruncgqfCqQa,2017-03-09,2019-03-03,9349265673,4910
rEOsEGuKSFAKKjylbLIbrogxNOSSysMYbYHGIGQVBuYYlOVjUNQaWcagOSQDEkmzDPXvByVDCdNmrQWBVXEejxqzF,2017-09-12,2022-10-09,0881752823,4070
dWznOfNSgbvADJyJkkpanottsHuUzojnjGoXpsgnCmKIsiooLxBwzmzRloNiDCqaLvtQokdNnyLpbQAeXzrfsFFfhtAlYL,1985-10-12,2004-08-30,2171547702,871
wqdyFOzIyFkjHiKWaQMkPeXuapQOiibAtXVXSbTrEaBluTNxnUd,1978-11-17,2003-10-06,7229517575,3540
VeTSMowrpOYHTmHhQvWwUofNSEvajMlWanCpqBBFIWF,2004-09-29,2008-02-12,7634470109,1991
PBSiOsYvaRhiUtZsLePqJWRHpaBMCbsOfqmNYEWTkruhnfrKGzRmI,2014-03-07,2020-12-06,8314587072,213
smAwsUTTaqtDxPRHCKiqiUoTOlAjJkscoHq,1975-01-15,2000-02-28,0071799180,4261
GHjklNCZMbcICUslBLiRUYZxPD,1998-07-13,1999-05-26,9550614618,2161
IwXfrlZyouKPXRSKCzhbxLPUiQOwEIWCwanLmMmNVRfDZEHDqkNPkLnQgewy,1962-04-07,1986-08-12,4348252146,823
LrsjoXLENxsleZRKxtDttxAgyEfRKpqLNcxgJChroNwiPeXYypyDFCEqPVPhEoNpgeatTJdRyAlZUw,1993-09-08,2005-08-05,8833500701,2202
HdHkFBMiGkY,1959-08-30,1989-03-20,3731507766,2039
WNAOJeBVpgCyIdYBQOMcuzMV,1990-01-27,2003-12-21,7699388255,659
fIloTfhvdcTRbGviMYwzoLivDSVaSCjGwFXcrcvymCJvXomIKiwkAZNXbLcDsInVgdNdxf,1966-12-03,2017-12-07,5909904929,4345
CqsAyrMlWZMujJkFpEhRnEprJXTowGgOuNhywQCyOmhjdNlZAZCoXfppgZmiNWnFDdGjlySb,1961-12-08,1976-09-06,1015996781,2201
FqehfQPolEXSXNDzpnPAijwReeohasDRxYRsmmuuzhbNsAOWeLsoahXAfdWUvoQTVsufaVsPjurs,1983-08-29,2008-08-06,6457650884,3355
OekVivRZivGniyCKXucIzcdnaqoSGTRhOLEaqvRrhVcJCdGbkLVrwKrChDTRiXKPYwbGChCaLHm,1996-07-23,2017-01-17,1663616668,1588
MqZrURerkWUccvmNRsXgJlrHmnLmHyDRqBEnBUmQaUDlAGEYzmfEpYeewWDJ,1984-02-14,2023-04-12,9859909751,4750
pETXCKiGjAGTGAABwptivHVmiGscQkTps,1999-10-13,2005-02-10,3761642270,3129
tqxlqOLlkmPdketPzMUDkLniVElZwioALtxKPLDBDgjCmlaWRrqmTDqgWEefLHwHMiOo,1970-07-10,2017-07-17,2739123176,1527
WIBRjQtfscVmGUqHIqWiaLxVlbDxXtnQGmkXE,1981-10-09,2015-11-25,7000098274,267
WVPOgGOCczcatqNrZEurRmlSJjERqYM,2007-03-09,2009-01-17,3544256013,346
vmrVrHkkGdxYeIBEAvFLofuDDqoJcZdkaKAnhyABnLeiaIAYPEnaIeyXtVWgTAGQMAkWmVpaHXeyEFIJyvcjjFydu,1994-01-14,2000-01-20,0397652928,83
qzywjNjdZnwZJlqWSOvLFBucqqvtdUoRgmBfjJWwVZkukCp,1991-09-07,2016-03-27,5519199560,2482
aQbndlkFnvQvsqFVRplWsSqLykWCdRyjeOEzjOwLJGQHmmKVlzlgsEXCbPKsEvqCmlVcps,1974-02-28,1982-03-09,7004433456,2224
yDtZVXowbUiwT,1983-04-09,2020-11-22,0518885814,3887
eqjeWhEXOxOEGHmsePTyRqEakuzPqUtwVlxRPUJeCRLS,1968-04-08,2003-01-21,9535584538,1525
bhRxjKufQFGXpkiXJylwQmdPKBxYnAcjVWrtzTieNQdFrOzAilPkz,1986-01-27,2019-05-06,0014843967,4501
JsmomQtWDhtQmKuqCKfBeaIepPPGPmUiGzrFRyUralMPfBJKCTVHXalQCDDyWPrvEzfYgPuRw,1954-02-19,2021-04-28,4936789239,4359
epzzRqFpxwGFZHcXortRohiQtVtOeeZGGqyBfBnrQVhYvRAZDjMxZmEbXiDlISFoiRqGtGdzObcMoUzefEGySBmw,2023-05-06,2023-05-25,8436817729,390
VEQPorBxDtNebHWlKKqZJCzvkeILnLTgkjYeMAkNcFKdASaWoiHpcYPUSbMeiFSztvPVfCDtvEtifBLngrrdyEVuLwukYsEHFX,1986-10-24,2011-10-21,5696313342,1107
fdrWAWLhMStXbosznmOJBoJKVQANORlkmZYMZMvMWzFPKAt,1953-12-24,2002-02-17,1831046646,3685
FxtXrOuaelOgzxpLKbnIZnXEAfChhpzYvdKsdWsgAIgduglykVgmVnLfwIcabGZxHYOgcWXslUrwtpokFNjps,1979-03-02,2011-02-07,9526632116,3234
esvNawPZPMRrtDqoQNPJWLnGfZKFafHQyLEywzuGHSGDyQNzygBYecdfKpzHKkhkiLKsTcRreHShuTSLWtwisrOLbGQRElP,1954-03-25,1972-09-24,3132962702,3726
lZpiPrjvGOWFxesUkiiPrLcxEYAfYNWBZVVgFbbhsioJcPunQqVrsPucmfRUgkYibGhvPIdeeHapGlAZGFENEHzXf,2016-04-25,2020-08-16,6673256856,392
RaEBvLzmelnKZIlYqtVGzxiT,1979-06-27,1981-02-12,8991536745,1013
DaKgqZDaiUATJdwztiH,1967-11-11,1998-01-11,0030227068,4483
NZeMUxwFELVeghLwzlAxziJJGneVtiGrLleUSFtKoXqltoqJhkrVNOGwafYOezuSjXcKeaWUqxcRdrMkDUzwLJ,1985-02-05,2004-05-27,5420836465,4760
lSWeONmoHVwHrgLyqWj,1962-05-29,1967-12-01,4263241079,2557
yJRsYVqAkXkoYuRCrxbZKXyIQravaLHbQOEQbQWnh,2011-03-07,2017-08-09,6986683021,2507
vKHGCQXTELaItwMRWpigvHfEHeRJzTxFWJFdMcNHxtBaunfPNeoaawSXGehhj,1969-03-03,1970-03-28,2577988347,4071
HLlpMTZehXcdgpXefEdJCVmUWHC,1995-03-29,2017-01-20,9083648076,3400
tRbWSRvNZLghUhUzqwzhXhufkmrOBmjrqNQfGHgvFYbbGOcUVnGpADyEEcMnpZIWuwPIiWsa,2008-12-24,2023-06-28,4149680407,3689
RoytyttHIkvqsnozOWRcqaItYhWEpJsjQtpXmUPMfLJuvYUlNKerRLJnnFyEGGxpHTZRbvduoDMOfTARAkti,2006-12-29,2017-02-25,0950884337,2977
ZhekGmzZgrdPzgLIfaaeDGmsgbyIOpiJDTzVMtPWZPSNeUZBxjbHmhcrohbrraSNWOLdScoZKVCucIMqERqOsZQIzxLgOrveTIw,2002-02-01,2015-04-18,6915578170,4505
aKXwIUKRugsNkqiiJOWTXOpTQzphJyVHGnUwikcNEhbCWlhcuHVnarxGuOCeZuyEaXvGfZl,1983-03-05,1998-08-30,2133390087,4191
dNvuAHqIkcAaeNlqYUeFlnBhHLcXWmZManORSVgwarcRMyYgXb,2016-11-18,2021-06-11,1446510743,2628
eLpFkJKyqwHIhgDyAOuMOIRydorUoXpzHkiXzhYaSOiLfz,1953-03-03,1993-03-08,2286250568,4888
sDttVKgULcDHuXJPETvfjszoKzSNSHUpHOXREMxGELWLnITFYkNXDlWinRCrljcRnmYUKcFaBANLVMGFWiHQaCYInaSMiJnGk,1997-09-28,2006-02-21,2821506415,4845
OTvWmOuUgokUEYfBEVXiDtIRvNXBOyxzzjhXxGqgtRRfJewwrmSVhOUwcTtEhTqZVfyfOsKQMlqecfQPmkaleoyPW,1986-01-22,2023-02-24,9900374713,3867
tZiSRePCjbhRMhnpOZUSWNKlHikDpCUUHAkCKbMgKXaqKKhTZTAKeCvrFdAIjXsuOchwgkhVSjKSgSafVAFlIrZw,1954-01-26,2021-04-30,1095781996,2072
dEtHEptTzNntuCuOFLbesLwlhnAKuYvUrCGtulUPn,1979-09-25,1995-12-01,0507913785,4567
rmbuYMIostZWZvBVHMExHMdecKNhZiFdOniqpBQdrTSIViXnQFAQdNsOeyyhdWtQoAucuYRnKFvSSqzISVTgapEizWsNISpMxBS,1974-11-10,2014-09-01,6809732087,2919
ABlQTUSQtxxATWZpyzwrvOdsNSgeLZjcPpSEnpDxJNuFQyEXjwQovcIzXIxHToPhphNjNWxdUPnRyhwzcTTB,1993-11-28,2021-08-20,3664148899,4272
aFXbfKzNoNGPtZKgYF,1976-01-03,2006-12-14,8615601771,360
iZfxdFQluCErzqgeJKQFuQrvZUQaoTbTDhaHtfPmlMaCJLDOFynhHJwCZm,1953-04-11,2016-02-01,1958197051,4211
KoNLlvkuxrUuDLZbrgOirATKbDQODrIncuwIcZzchHqPs,1952-04-04,2009-02-05,1432621583,660
nlSgVMBpRlyjxPFcdDHutHlognHORHfPCDjzbJlifwmxHKzmcKtqGYyomezEjhcyXYUQhCAqpKdcGJKSkxTj,2018-05-14,2019-01-19,1795751484,3481
QHRbuECSoruJvmpOnAYXIEBsvsJSjtHqohHHsjhFgtfmPEPvyrMoIpMEshcZMbtBWFwLsVgWZgOO,1992-03-27,2007-10-08,6179134975,3454
KCSLHuEEecoYMRvUncEKYF,1998-07-31,2014-11-03,1885696718,2417
JfrrwXdrdyIvfzkLapTQeplEfi,2015-09-20,2020-05-30,9781640349,1180
QAhZKSEPMGWEqwMkTZfLiyXsoxYHOPYaQmihgamj,1985-03-14,1996-03-24,9530738395,1154
hmmCoiWgINuEjDKmwgIMqwXeEX,2016-11-04,2022-11-17,9635693608,973
HUxlmFWETMoJWTdpJLMEtgMXfJcwjgSaJTVoIFpZrPTbikLPaMRDAdPuAERWJQXTbZRKqYGDNaEAdDnvp,1988-01-30,1996-03-10,1116076882,416
HnDhPisFjXkzHtpPxZRGShoaNVFfMpgJxriFckMFxviBNpvUnVjPbrFMDylE,2004-08-30,2009-03-02,5188107238,3983
FbAisQAqmaPOfWTuVXRewKrGoGHnAKdeJjAqRGZIICWfdhbkld,1994-02-20,2014-05-23,4762301771,2286
mSZUzSJzKNVMyjuLSTgYRGBkIlzXJmhIEnNgAkKFiPKfuwBt,1960-07-07,2004-11-03,5793069265,764
rUWBhjimGqRliLephmsgIL,1994-03-14,2000-01-02,3787476477,964
KDfeFtcnLBBPdiaSGXtqPEuUQVQKyiLZQHBVyBYfyZNsWOdAqdUFABjyEu,1985-05-08,1986-05-17,4796098590,277
MHbjFkVpYOTtbBVZiqaDWFUcBZLSaaQcbQxJLDMRJJQxwZYekXGnakaaYoKiksvuvUkFx,2014-05-31,2022-10-01,2477814032,4431
uBGXKgXArIFIRReQpaSwVCoIziMbBluAMZeNSzlWHoxLwLStBsSlFHVGpKlsjTpKtJc,1985-01-22,1995-09-07,1805542307,4341
IVCiijOHzIrFVtCoaCmlgrHwNZXCXtxTBzwblYnGkUHAgvnlaWsXDhoDiUjEylcuzOZvcfCOqffkFZvjauhjWMJVpovCQf,1961-07-27,1990-08-14,8888270679,4832
jTGwhmPPtWJerbGwzqUfyTctFVwSfJSvdkCzXgtXXJBUODGVXjPpuqoDDmGMEiPUUEINNXcS,1977-09-08,1984-02-09,4056893455,2545
GwFYIkusduYCDNDIkDkLQRujdHDpaJKzIaUZbvLbjmuZOcKfVbwwvigtKdGkZuuLngfyByvWkxcZWlRKzfdlIoipYEmPk,1960-09-10,2018-10-25,4658125939,4016
RlJoOGaojoiHLhwJuya,1986-04-22,2008-12-17,4794794823,2011
qCwEeQrmpIXjpsX,1987-08-17,2008-12-01,4537902768,1547
BmUoKYAgHQkDxDdGOCwmeZgrIGXBZspFZRcXxrztYQgBwr,1971-02-13,1983-09-25,2740784683,4066
XzYmjJIGTGxjXrNHOUVyObpFdAP,1992-03-14,2004-10-11,6948753139,734
xLNThjQABVxQUxeVKBDPLLcDSzRRquDaJnkVTufdQUeFOCZe,2021-07-14,2023-06-06,0485483065,2055
CLihSQUVygapBKTyUDOWWPasmxrQbYCewYNUv,1976-10-18,2011-01-09,6576106847,993
CEkBWtKHPCirGHjIONFLPRknKCOaEwIExXxuKmCKaiMJzsUvPMwDMyXndKyUFKagjlIVPDSBywBcfKnZDWmDcSZAOLslVLYIPChh,1970-01-28,2009-12-15,2179785033,1563
UqiiHWwddLCrzKJqepLKoBXHYuHkXhORPrYneyOPGLWAjZYgM,1957-04-12,2003-08-15,0780917667,428
fbmtQYflbyepknZQtOVDcQlenvphTaQfjklaIEWFeWKKZbvYhGrrSkgisTSOtpSwhHbRAWMtSJeyhWknxxeMYNxqougPhuDUPwI,1982-11-13,1996-05-05,0608608919,3723
NuLgYqaIKMhnKCSaetthXnpNDYRDLWhAnyKpAftQOesxVDRrSTAAXUiYqOzh,1956-12-17,1997-09-05,3390033754,4147
MiyOdnqLtEYJyCWoJpCnbNSppooKUGSqfxpeBuWGGoqRFhReOzSfwMHKnEYMwoDtGmuHUKFMa,2018-09-14,2020-09-23,3409886400,370
IbmICqmAdKXWPhpBLnrMxqchmyUHHazzzBCJNquVJcmfGqP,1964-03-23,1966-07-07,7052475214,584
WjQuqYSEntNZiYBDYoQBuNNkLEVhcmkdJxsLyzzIlQrAOFfsONzhKZtwLAiWAStdgH,1956-01-15,1989-05-18,9305096656,760
HmyqrqestqJWhVdRlXYSfKVgbrwEDedOXYwdgWyaNMw,1975-11-29,1997-07-27,4998323260,1163
LZaAZOjkFyvVsKsgpEcHDJdDxgfAaDQz,1978-03-10,1994-08-02,7434364097,4748
EVyCwedubfKmJLKQLLaIjbdBdCByTclqhduDyczlXJYiUeaUVvMKricPDWXzaLwgrFcdEnO,2023-01-06,2023-01-11,9973173024,3439
BrIaAlBZqyxTOnHAsyE,1970-04-29,2010-09-10,3208855603,1512
ODjGVzuDdwpCsmpWEyxhQAAKCLhXtUGVVsvJZzADbFaaSBAecqvidJbQYTOzVZSjDHJkyVofyjCAAYHsuPbImGLexSVQWSSWJR,1980-10-25,1992-06-07,0047887674,3343
jRcEDWaaOpvihrWEPy,2007-08-19,2020-01-03,8397098643,1386
HFhlFqeQlNJFxCKEfjIAhKWgqwcTTVVwOfjoKRZgCSGFoXI,2007-12-24,2016-04-10,4842106181,1689
WFdywfcmkSEtfnVcKhRCuoAFKdCXJyZqdQuEfJjRMAlolWsOODFJOjmEx,1957-11-09,1965-10-08,3483191861,1847
qyrIykZKLhZaRzVwPspVAuhRlewfycPkBgNZSCDgKhBIjEpsPYMUrgLDJkvhabequNAUmeqddfmBBxKyxJaZRlkOQTS,1980-11-25,1984-02-14,1556607369,1197
BGVlklzFfxsJpGXWXwtHCYxXuNzIruVCnRTnkKlkBxCFCHjB,1996-10-09,2001-01-13,4968630858,870
EJYHoyGfVmWBkmZIhbDdHLjjkgXQDMEyLgpBuJGXvQfyDWrcY,1975-12-22,1993-11-04,9380468489,1882
TYJSYZCtnneLokfAvjLEBPrnOQoBCQCGyjYthZAqkwiIXRtVtzseYESYHvFZOMK,2016-01-24,2021-11-24,1455509935,4333
IJMhgbTOQpddEaMPgiyDccTVcinTGmwWhODFDKCPRUDLezZXuIlRgJNzvmmHbjHYkdeHzCuJBY,2013-03-23,2022-03-19,0279880893,1521
KFzbIrrqkneflrPnKIZHqdMsVXYLjfcRYbufgAZj,1992-10-21,2021-12-08,2945152117,3348
KDOuhDvEOwAXZJKzHiFuDpD,2018-02-17,2020-05-09,6568209596,3971
vXdhMXxrSjCyQVeEazsAtbppqpRtfXhqgMweYwLNwvKBlDLFb,1978-02-07,1979-05-10,0845336441,757
ZLKSIGNmbtzSCg,2020-09-27,2023-05-03,2947594540,425
nCfSQxHyVWcSWnkPEIaLRdy,2007-05-11,2012-10-24,4858089787,1002
blvxqhActgMCjI,1982-07-25,2012-06-27,3636610289,821
nubbGvDrDsafUVcParWSwrgxTYQILrofFxmXvAeyzg,1996-06-22,2011-01-01,9600117085,3735
cOWoXzEXrGgfHMUzNPAbnniSjTCmTqsFNCBLtQkDuQ,2008-08-29,2020-05-18,5422227191,4096
epKCtVwBfdZJtXRbDpTjcDwzCeOhRhGFffGdZDQczrBLRnYFDcTAovucorvSRVFurzCdYo,1977-01-09,1982-05-03,2925814940,3572
dTWQKEtvFOhEbMCEkgOrlSfYAaIPsTdsFAuFmCHvLhrv,1970-08-09,2001-06-22,9838106315,4254
pPuMZDXApuiKSUCiUIvPYhIOKUrpBfiLFGOaHntgKkYoUvChSGESJTrtyjFuxwKIUDYBKyTrGySCoKJ,2007-02-08,2007-04-30,3300455522,667
eXYMPaeUYwqHFqWAHSdXavKViQCcHaiaGFbRglSvCfuiLlUQDANfHgLBiwPQZygoJhjDycSiWoebwVKKK,2015-05-31,2019-09-22,7406616024,2455
RuqbXiMCGZHZVUSbEUixMAnEcGxfxfNuVFmlsCofFAPyRnTZlILYPVsvXgTbplbsinkmKjVLpzrriZhdxYYTDVRGFkJ,1961-04-05,2011-03-16,2251832707,1952
brVjXHnMfMLuWngTFtfsNVyGbvRwKsbzygqmZVOidweTXdSArjIQEKomVcDwavyODuOikFSPnMzUPsihVMtgbiePqStbUoZ,1993-03-13,2001-12-22,9486415522,19
WQNxCgPSidRJeyuiaUKYcWrrZlkQxaPHEdRxQilKFMjeqCpSuXTPdHEHeSjYSjIZpuRg,1957-07-09,1958-07-29,1737761062,509
iNYgoaazCAkgCPlHQgLOSOjQuXKjXfGsMusHAmAZxZrMaIhuZHE,1988-01-14,2012-03-21,8692380360,328
OjTsbKQiJzCiXRZUhaGpwmitxkStqZnBvGHmiKPFNLtQrXYLRXaAJMyNkvhNxpxcYbMFsxA,1990-12-23,2013-03-01,1017601498,2867
nPBEFrCwTALhzofyyrIdJvNCXKdKcNfZaTKueboVPcJkxjdPwfRaawdqqR,1985-01-14,1995-10-26,5986356934,595
ZCsXgaPhkUKAHsJKASfcszEWExtxRcSvbmedezAfKYdOyDDaOTbI,1974-05-11,1991-07-12,1275442094,4713
hmreKeNJyKbMxSPqVMqmXffhenlFQqISuOGCMlikLatsFDRqHSENJnjCdudVLIOpayMbHNKPgYXbdSxEDnzcSo,2005-04-12,2009-06-22,4420723827,3511
sRXfrKzHWIOXhqhTcxycMWWhXzJCtVgrvRhTgNVnMMZkPVwwGOqWO,1994-05-13,2020-07-09,4293632123,341
ctDxApXsyYGQJMNZYaUuFigkghIYCfNyWsIRlGEYSkIutFcWLQkkVLjYCNsqiIWAaEMSAFRhGwSuKtIGQelZHUiMGqxuU,1989-01-08,1998-11-05,0691408561,936
