REPORT_ID,ACCEPTED,EXPLANATION,PENALTY,START_DATE,END_DATE,GUEST_ID,RID
22,True,XkZsjMUGlG,333.07,1961-07-27,1990-08-14,8888270679,4832
23,True,EtstlLwySIfLYuNhIfObO,352.46,1995-09-30,2022-02-01,1194461328,2503
24,False,dWdRsjVEWdHyOIWanVGJaqeT,801.26,1952-10-30,1980-04-09,8586245387,3308
25,False,wVAfzRPFYqbdrMQwVUzGyPEvtyXZCvlAYHASCLU,992.14,2011-08-15,2019-04-10,5285953267,2711
26,True,IWrybXwnYokdIxLrBFHjIQntOiOwIpAs,13.98,1996-09-12,2019-11-26,7209747081,3332
27,True,FJHtBFasrqrTOq,631.63,2016-10-07,2018-02-19,1816374294,4801
28,False,cVRPPZEozDhhChLZdinGscMLUpKzEMtVsxixyaXKbOWmZcKDazHhKFc,944.35,1953-03-12,1983-10-13,1890166744,1480
29,True,XhylHWGlUVvJJQvzhuwbhmjDzoOFWgqqYSxbcowOJBIoJSPXHZPJPdvAyzkiRPZQVOhaegGbkmAJSvCKMjeDuAUry,230.31,1985-12-09,1991-02-16,6009780549,2215
30,False,RzbphiQzgiBzTpTYlOgGKofrXoHqDQZTRBHUsJnbLWUgBLuwqWJYItILFgfdWocMozYrPAQnuxqKWzxEOZkuA,609.87,1959-08-16,1997-10-01,2756835229,2418
31,True,JQIAtNRsxVCjopJLEkjVAxPBDmrAdXRsftoxNETbvx,564.63,2016-01-01,2018-02-26,2155649577,4767
32,True,HezzOwWNYSUcaGGloWQiEssrWmupdiQrUyDCUjpVSMbpyEoNfkWwX,39.45,1994-11-14,2021-08-26,8407218935,3965
33,False,RZoYuCcggpNSasWdyAhwhnNgXwPQgWoipFkeIOcSnILTUvBXJnNGirPGBuAGWc,976.97,1972-02-16,1982-04-08,8492271880,3248
34,True,dFnZagLHbxWHTFpoIMZATVIAhJNzIPhijTjRifztkrXmGinMNAbBtKMddCsnpGNoMMdgPYsdWhHIY,345.15,1958-05-07,2001-09-03,9305917372,4998
35,False,jUJcixmKUnjGxmbbkkmIZWUsGuwdtHVXkaRuYPCcJNRgDTkGGMorIQRUZiR,384.42,1990-11-28,2004-04-11,8569845271,560
36,False,TDHLtnafYrtufmtihwThyOwzXBrvgQOEXPB,261.24,1996-06-19,2001-11-26,8726339922,360
37,False,WofQeXGTmCkXgaNyBaVVuPmtnjjNIelDsPlFrxwCSiJOUoLpobhazSMegFKFqxHFqczGsrQuq,676.29,1973-08-26,2006-01-12,3239816187,4585
38,False,gVrEwLFXKkDdfBKhUPIduSMRLhktNpytDuNvaE,372.35,2001-07-15,2013-08-31,5032312669,3665
39,False,PIavjlmZVoxpZmYgICIELcTDmyuXiTPvnIIOHYnygbJWbqHKaXvmJGKepfPfnxUUeFLMWbudzm,660.07,1973-09-13,2015-04-20,9840437011,4120
40,False,juBmrRULRfMhqEYLlbDUcHTqjTalezwYCTZBhuieEKmCUPThnrzixMlSMnhBInmyIHdWYeRRaSSIFKHFCqboumhEVHQEw,186.12,1991-12-07,2000-06-27,3381144822,2868
41,False,USnDZozyEmFkecBeDWeEXeJYKIMKdllKKEmsOTEHV,204.04,1992-08-25,2003-06-23,5681092338,1171
42,False,TUPIkAyYXjzaeViADyPOubZbUjoDPnrCXYiteYGMEZfBPEysbxnAjMuWGRbdaEfV,179.29,2022-04-05,2022-11-25,2755748999,149
43,True,fnYbHYoSBIMsReNmLvZV,30.48,2009-06-26,2021-01-29,6235979892,2518
44,True,mzZzBESyHMnYGBizdVBCVpCyyHWpsttFEfFNmTJlyjuNBsWJsimAOGkTKbSquZPKIemDiwCbmXOu,71.51,1993-04-18,2011-11-05,8171582954,4988
45,False,AULAKwNNADqFvaOSxIGBQTsgUCQkAzPseNocFrygtDuQCSjVseUtRdpwHCdbPOVqukfouwWFzHux,123.14,1962-06-28,2012-02-18,5786098628,4
46,False,QGLdnEwrqyOHDiSkoTwUAjos,422.15,2016-10-27,2019-10-20,4096723964,4196
47,True,gWGAlmePZRTwTjkyVGQqmNKRcOuhWxdRuXUiepVoRyoaLqBsknDybKShiasM,678.47,2004-09-29,2008-02-12,7634470109,1991
48,True,sZtAIAFYXStXNJMSmCdYDQigGGJFkUdpCyDBlLA,596.98,2016-11-04,2020-04-04,9608310607,4227
49,True,jqrmoYAqxlZMmcNZcirjWSwPO,330.67,1991-03-08,2007-07-04,3419660050,1151
50,False,uFyulfyHOSdPIDtoMMBW,270.07,1992-01-09,2020-01-08,1491176979,3933
51,False,WZlbaZhThahdZXCmVRvPbCIexqpAJZYSBBpPUSjNBMGMpKJW,969.62,1957-10-11,1969-08-06,2604723223,1367
52,False,iEiIYVnrfePEUukOtToTkLGYYVuLctrLiqyTJMLUZNhcsrmsYyvegjqgauYCtWEgfMxwLLLwzXAKmCUStcESiOI,257.43,2002-01-15,2021-11-06,4660734769,3115
53,False,nUPTyNEqcbNcyNnNDOrFBsOqLdm,89.29,1992-04-20,2014-08-11,6086721310,4406
54,False,KhiXQMvoVCFLcWcZsGFQDqIGQdFWXmxKDmAAzWBEeDdqhAhvaIZNWLHWpCaIUInhAwTrFPxnpFMOOrOFPTRJDjdavFQpCWfukaY,657.21,1964-04-19,2007-01-02,8893979619,951
55,False,PLiuTVXpYpLAENOe,603.84,1991-10-03,2022-09-23,0128149718,1658
56,False,NfiIBIhcxzCGZDxAfkzSBKHpgsUtMhZNdjfSMujfRzARzHbgvzHDxoFFmqhPQxAcKsPFkGkVdMOsRApjVWDDvvPBkXuOoBcqeyT,679.38,1965-10-06,1968-11-14,3018391406,1712
57,True,hzludGrQLaBKQcZYhGoPZfxFvfALAtloinGxYcsiEhheqoKQNWTvaShXYDJgvBg,1.9,1990-04-27,1992-03-30,2297471261,3288
58,True,HQFgWqeXCNWOjkOEIvyTd,53.85,1984-04-23,2005-11-14,5898929440,743
59,True,ZSGzHOtZATOWTyHsNKEOkvqKCjpcqGtblyjjMhGSLibzbqVnjHSDGpuZlJhcRFxWCeqPwyGFoglNoLIlapPxmKUkDMazqsMGz,235.06,1971-10-27,2000-10-22,6771734470,26
60,True,auPIzkkuWxKEOkVbIYgrN,332.81,1963-06-19,1969-11-19,2755055157,3174
61,False,WviilbdZXeeyPxiRzHwCoPSQWghxBUlasxPFWcjAXAeQjKcYQqXbOFrWRSGoGVsm,143.34,2010-02-19,2015-02-18,1332829353,4967
62,False,NRdWWiPEGuCfdaroQ,420.08,1962-03-15,1988-11-25,4307568916,4011
63,True,FgfajfoUgyYZISMfnsrajvSMKGEHrQqTbyuVczhkAXBaVenTqC,367.29,2008-10-13,2013-02-08,4900194553,1781
64,True,nGTIauNwFbOQBZYkeLaWWgdprzCPBLmyIDeGdutF,657.65,1963-02-05,1998-05-12,2937293563,515
65,True,ukjQtTLouXamoGxiooSgDPpkxxBcsDmKCpMRoOEWvXeYhtLBKkAQOwCEsdwQnIfYdMqTQyfxvCgodGxDNzJKPXT,854.93,1994-04-13,2011-01-23,1932489781,2161
66,True,hdRbvVjAeOdIEnZUzSkPLgtJjCfyqnjxQZEgRnNKFtWOyMH,742.63,1969-05-21,1997-02-22,2047342147,2750
67,False,nICxJdXsGgNGYtRk,704.1,1974-05-01,2006-09-30,0610525805,2693
68,True,MxVQpzZlBQcMHzqEDqcHtyfxfMVczsIthaNayypgcaKyJQLUOKYAwnZOGcAQOFlaccorLpAJVOTSQYZqqSFWdQwxTonoo,137.58,1957-02-07,2011-08-15,4874093995,3240
69,False,LULsuKAoXD,417.62,1964-04-13,1977-06-21,2363324041,803
70,True,pJtetKoirhWTCyl,804.32,2004-09-21,2008-11-04,8547891445,2749
71,True,QWgIFxpNIhUujOGSABQdZvqcEMQCSksCayASmikaslEQvZmNaq,350.01,2019-06-02,2019-06-06,8272354023,2438
72,False,ttnBkXTKOHWJbrZFGskYLrKwTpNuTfgQyTxEzzKnavHIsPutcjJCwZITIqghybNLfVuFeoiCuajQBotkKbdhdqynUg,420.7,1999-07-31,2003-11-02,2742208415,4632
73,False,OQvfVafZgnvsVYCladpg,942.15,1988-10-28,1989-01-19,8257726341,819
74,False,uAzcUXfmFGaIJZCBKdADbWXpDnbaKrDDneelMhKxbEdWuyeUDxcIkrcxMrIWWSeKWusppSHCeWHSllxqjVLfBvRjU,797.06,1993-08-29,2000-04-01,7533522667,978
75,True,nXokIPJKZzieMVnvHq,831.67,1983-09-24,1990-12-18,9920064861,1548
76,False,BuGUTQiTyzTgnoLLftpMzUvgsAcucEvntDjBSPDbnYeoJtWjyGJHVqFRrPt,883.51,1984-05-08,1984-11-15,5151851442,4821
77,True,nrDPcjOhVEacgcheUCzjlBnoXSLtTYVlzGdWYsAToIhXoZNNuSeLnBoYNgpgmSWfzo,114.61,1972-05-31,2012-11-18,4277981930,1106
78,True,QKlhEQHKMwlSVgnEdAbqXGpuYpYTAgTTgTSQr,7.84,1968-08-24,1968-09-22,1078098100,1725
79,False,IiEhYWbavAlaCskCTOAwUwnyskFeJDAPTlnaSFVV,152.2,1988-03-23,1995-07-02,5001765960,1509
80,False,hTrHDwwYmgerebklASXofQzogeOCXRMeqYKNlYHFdBhbsqPHpRfKEuKllxNdvnoEhOvjZtzupGItVtMALNQxXvJfgIkckUHbQN,386.55,1976-08-24,2006-01-28,3177405818,3672
81,False,lmFFdhjclWuRxgrhsjtadSpJ,676.06,1970-03-23,1974-02-10,5606396969,2591
82,True,NgKSNpWInFVOuwBvnssmUqwRpkBkyltiOCLNJGoDHJYMLlRexXZuHKrNE,972.14,2020-08-29,2023-06-09,1227977482,2392
83,False,PigHOZFIneRwMGsJhvIwUxjYPAgLCoJHdwmoYXmRYBYhqKINxlNGbIFqHtYJMyDwIKHRLEkNFRhbfiUCr,530.47,1963-05-24,2017-09-12,4849252518,3293
84,False,ftPtOCwYUMkoGFAVcxnDoyvRZUXmnBESockluSEhDbg,208.19,1988-12-28,1989-11-02,4160349328,1238
85,True,IwiujwysmIrmonBmPBpZMyrqxNjWQciXGwoDOujcOuRjKxpai,985.4,2012-06-29,2019-05-25,2177711708,1300
86,True,pekDyAWKQehOfaCQVJNVirChswdPPRJBrIxpnroIpETPgYjIUlfuvs,120.62,1964-08-21,1980-04-04,0214920228,1401
87,False,JMGBhEoeZIskBeQQxdoYXReGEPEJARDtdKmnVJTymXUKpSCamTZQxGNVgwNeizozAVdLNL,349.44,2016-04-20,2017-11-07,4414637223,239
88,False,ZjLarcEkcrIRSfTnAFsVzfbufTOTiS,98.51,2008-01-15,2019-04-07,4574500986,3626
89,False,vGZkxeXwViKwCJblXXjGroLiidSrrcrMNBfKAd,231.76,1954-07-02,1988-11-16,1631362975,503
90,True,HWORbIdcxXIU,93.81,2013-08-05,2017-12-11,5358562997,1614
91,True,EkROoXMXZsptbRaqMNRxkrKhEdazgiAbaxOLgSOSpONdbUAPVokuMKcRcwWSrFhznSzDDAAqKonXjFffrmsUmrjpAOUa,760.99,1967-08-06,1970-01-02,7789654723,1792
92,True,AmCKZDaOzNoIxvSesZatsFspxsNqiUFNkshPFYKMUACIqVeRzVuzcvIaqNNmctSppm,258.09,2007-03-23,2010-01-14,0874305069,2112
93,False,fcGavGFjRzPfHJQMZilwiLNBcmkHLuCWXHIUzqGHfJEQaUfBXriWhcBIrXEsxnTKoKR,70.48,1976-08-16,1985-10-06,9633345837,2022
94,True,rLrEbrcVGOOrPfuQNuOosWYFpxqLwcjvOGiGWgXILrbP,938.29,1960-03-28,2004-11-25,7448219073,204
95,False,BLOttZCowVuOKyiHVIojCdMVoIqFzNAHtQyqObSIkgFymHwdowkFtlYkTAjTqOKfuhhw,87.22,1957-08-10,2005-10-09,4988164601,3240
96,True,loyVHciRqkpXUHDTLSrReCOmeENQGJrXoKtlfl,118.89,1983-04-01,1996-01-08,8555934143,628
97,True,xsAknPdqpd,349.36,2008-06-27,2008-08-14,7061775937,2614
98,False,ssDoiEOcNSSmlXsR,358.44,1982-05-29,2013-09-21,3971789300,4140
99,True,sXaKitguotQBkIqPbZDoWFyPAbAoQLZQjELYcSAZXcpmcywzvisdfSSjCUDUAcVnLPsKElBpl,483.98,1968-01-03,1988-09-21,5295685176,1148
100,True,WHxpaRfIewHybGScOaeLzJVCpUbVIAWOSwiknIvIDseaKgNsFnvKtGhzqrijcEbEUdlUhmILmBEQvsgAsVwEdgrEjxLZLeCwFT,326.2,1965-07-28,1965-08-21,2510880679,909
101,False,QIcoCKwUvORrhFkvqVdvakLAHRdiLsDoVWFkpnQsaPLpyloMXkkaejHnEZTNwpLMJEXJYUOphVTFu,841.6,1984-06-03,1997-02-26,5944287642,1291
102,False,giDiknszwqzrscKmfFzBzNniLOQuhwVbgkMShiRtNHqTrYynDqHhgeMGyGBoFXYvcGRyZWMXbdTwUBbwblkxjLtYKbPnTgxCYSe,479.93,1966-09-30,2011-02-27,4202449313,3281
103,True,vEMITFAWyggysdBzqTYgkGrWkgRbqpgqRqbzwmPaNLffPqMRSVmkwkfAGcxeiRyxnetXuezyHKOSRBuBJQUC,719.11,1953-02-19,2021-12-07,0362723145,4107
104,True,FYIDVrYIsnDnlUvRqWRgzZZDpDrLgsHjmgOAMGPFGbmWQozXITAT,805.37,2006-12-13,2007-06-13,3909553404,3314
105,True,WLiRYnFJfEdigfnjQJRPtHBOsjXxZDnKVqXYhAHANIdvIphBxfwLLXsD,107.82,1966-01-06,1997-02-07,6605985668,3454
106,True,hMAznPXeUenMFkfomjRUnnJSQF,232.05,2007-03-02,2009-02-19,8627491932,3372
107,False,oFuRNKdiaioQECadGBIIRbwWdSbfBDjSakhRRaYZwLqsMIfQHeCSLCRwBQBtN,721.88,1994-09-25,1998-04-27,6655388181,3659
108,False,YuJSnhWwxiSAjZFsObLvtUuEQNbrQoIhqNirzQmRnFVkmlTkS,253.0,1991-07-25,1997-05-01,8788745630,2708
109,False,qAZoCfVfjLJEHLAdgyqjkqdfj,561.27,2006-03-30,2018-07-22,0969126867,3678
110,True,PTvfgEOCURjFgaYOVSXfLoTtlGQwmrvYGJqxxIlgjhAzRFZlXzmaPGrFgXawvepEhaDqZvtnlJuXKuDuO,822.01,1960-01-28,2014-12-22,2412834293,1108
111,False,IgDCmLbHToBDnjoyJbmYMsoUlqOdRKuasUIvNROMoDggVlozeffxNXaSEEFEQcPypsqKrjXRBUBLNzXcJCYJIGBmXsbLORzDsq,293.33,2005-03-07,2019-10-24,5186560672,3632
112,True,QaisoTkawiOyNtwlftUCfhnQHNOBGsiuaELSFtAenOJdtVZypKmtmfJOiTBVw,231.2,1979-06-20,1986-09-24,3372021100,313
113,True,OgJGwZTLbaZikVReC,225.9,2020-07-20,2022-07-19,9611489193,4015
114,True,lLLEwkCaghhPuRDCoyDJyWhqAupIoNGCbjmCKnRAUOhhDCqNeKdbHKRQh,49.03,1983-06-23,1990-05-30,8354288008,3392
115,True,HJTdkRYZvIpGXnGDQHvbrMJnbybXavkzwQkKDlhumojGfIqvfWiBzhqdlosHj,526.4,2005-12-11,2020-03-31,8529440038,4419
116,True,dlqUJQEFCtCZnfiUAFGmbsnvENJziStVhggaBaMWqgwxwNFJVmqAmcAIkVVulz,930.66,2000-07-14,2004-10-30,9135791724,1194
117,True,BqiqlTmCIALzEIDrAcHEsLOeTxVXsxtrfhaDkW,927.4,1954-02-01,2003-07-08,8387296900,3940
118,True,iaatoJNRmMpZlccZrAJQl,330.8,2013-10-05,2016-10-26,7189889796,1215
119,True,vvgQHZHOaFnoOcximPMkarnclAKAVWoEZvaRvCVABhkwkNJvptVbAsVXBKw,572.65,2002-03-26,2003-08-04,1408486841,2212
120,True,DiSfEKVJhBwGYsSCHUbwbGdspALglVRnyZYkeAGiFvNXkucYGRQcJn,11.87,1990-09-23,2008-03-04,5373682911,185
121,True,OaWFzyEDpMpyrxrRfcxmEkSWKvhyJKMefqTNKkqmIsIdlqQccrKgLBDHJuIoIVxBgGGVkGVokFldCqLOhaIgSmVcKnKI,384.25,1993-02-17,2022-12-15,0531604280,672
122,False,PsWDMQwtByVbTwixqPFALasvOtUfYDVEhmkmFDpxzLqLUEGV,289.14,1970-08-05,1979-09-18,7235441092,1186
123,True,LlBCrLzSZqcSDFXTcTpkonpPXtBON,48.13,2013-05-19,2021-10-26,6435075730,3558
124,False,RZCecilZfcWhwXsIuyFYQdhjavYkbEFotTHHVXSteDowdFw,212.26,1960-09-24,2021-02-24,5699085069,1952
125,False,VwafsMmEXukojwaurxKoefOGdogyUeLbvUzs,323.95,2006-12-04,2015-03-06,0482352101,4560
126,True,lQOxyAyXvunajqkIRuWZXYejkqnTXmRsafGiCBNHsFTheVluLWyxihvBywguXmvkKg,157.61,1966-12-20,2007-08-15,2129106541,4198
127,True,sUOiELYnVCabaEDWAKDXVbHVqWYYABoJjRRZm,82.28,1985-07-02,2020-09-26,1867462968,4229
128,True,YFImQGqcrcawKWefmaSUcXlEUYFqTCeQptwOnmOdIpB,556.25,1979-04-03,2015-01-09,5966974639,778
129,True,nrnedwtGiufeUdwtKKhrXPhdqq,602.08,1970-12-19,1975-02-05,7605237310,301
130,False,mXJWelmHloVdALfZNJXQ,774.16,1967-09-27,1990-01-08,2391840939,3564
131,True,nqNYgTxGxeYdaionwPJZJoETlTlDveKnMoSdgJSg,521.21,2005-04-09,2020-12-23,2110822701,479
132,True,aWpeDlvvDWyGNJwahZACbVpVfypGvXmoPkWyQgYVaksfVAuOBPpKcIWcpUTeCXCbUrybRdj,212.51,1980-09-01,1996-12-03,0186950416,2633
133,False,XyYFzybZAVDpDisVTHll,958.73,2017-07-08,2021-08-23,8589977609,979
134,True,GFsmYpZGlFQHOkJHHGtSykJZsZHiEwJduQyFgnNaEuKWEBASSpjvEdtcaNElfHQKuAIgizeMwI,300.23,1953-05-12,1971-01-31,3775584809,2748
135,True,nJRwXCIgVHAaegMffQihtXckvvEZXrXWINiRVoCrjsUQATlsfFFRrVQuTcFXmQQrHLLYzx,581.05,2015-07-20,2015-08-23,1219237261,3510
136,False,gTKxrezCwyOaDRVukpHYTHFzfAFLMINzefMMbYWC,792.44,1981-03-28,2001-06-21,7416813054,165
137,True,puYLReffwIHrrugedVccfTqchvsEgveZGRcdV,388.35,1952-01-30,2004-08-19,9673746576,627
138,True,KGUZTfYMJjMTxwpIzPaBoKQkcfPNGgBJgLwKKDcJmYnXvdOEdfVUryGOz,512.89,1957-01-13,1957-05-24,8279667970,2404
139,False,vfPXkoFrGPBQSloySIfIQGLdxYbVMwfonhfuJIpoULtHTNAWthVFrzzwDvlJ,682.18,2005-04-05,2021-06-09,3640282082,864
140,True,RatmFTDlbFJeOnf,325.85,1973-04-01,1981-08-16,5803977296,2310
141,False,OiYRfQSznhnbAsjFGAnKfvuilNSoowscWOeEwwZu,222.6,1952-11-23,2009-06-08,8796246639,2719
142,False,gnlqcDBcLHuCoXoZJTFzLpUmWDojuJkwTXOldIfsEZNORRkklCqhzVvQLryWEYnESFRUZaQuMrADUugRXVYSGxga,644.13,2008-03-12,2009-06-21,7472984503,1562
143,True,wlfdygvNxWyOduKxfrYOwNfgmJy,331.64,1957-02-03,1975-02-05,6142270919,4757
144,True,MhFxpcFbMAjbzyMElIksjnXnMtBAu,360.23,1997-03-02,1997-06-21,7509030818,4724
145,False,TnjrhanjnBlUMLWZxbvvjWTdIcRbTtYbCdWZmiyFCWVL,446.24,1974-03-20,1989-10-01,0134300950,1167
146,True,uDIDFGopWmPKRKpiEVXpEKLSnEVJARDdzmRMDlxjqjgjNBpaCkoUOHLbljvluN,359.44,2003-03-20,2003-07-17,2950847464,3861
147,True,PDlDTswiNiiEgUFtKoQeHNERzFyambIeLfPbEq,274.39,2020-03-27,2020-11-12,4077211370,2393
148,False,SxNXmkZIEjIwhfGRgAaEyZhB,334.96,2006-04-04,2017-03-03,2804942957,3889
149,True,ORkaEZMTWWlONUWrnezQPKXYBYHSbQkkTxxEDtJXtQMpRzDblEFvrYXwZgMghEtrlDXCIEaIhgEzUNmjZmJWTQoQHkoxt,909.66,1990-05-04,2012-11-19,9101917317,783
150,True,BIPtDOsqtiSNzDCPvzFqziBKibLIkUqsgixRWqkbpJihzkVO,509.38,1997-10-29,2017-01-22,9191978926,3760
151,True,dNiXgXjoFKnvEmHLoOArooDvyHeAalqnqdjAVSZBXTivvPOOrfrrTKNnkVcbgAfLonhQAeWVoqGbZiLFMrnL,367.72,1957-01-10,1982-08-15,3351044305,2058
152,False,FZUETKLkSQVc,761.72,1955-06-14,1998-09-29,8197347381,4276
153,False,WCxSXcbojvtHJMYGYgExKrJMhumqtrhiaUHzReQcEXnBeyDCbGpHgTwq,658.88,1998-11-10,2022-11-28,9420000694,932
154,False,HjlHkmbOedZkXhlzSBntUdSAzQmBKbjuiwENhPxqxeKrspmDsoqfjsblLxgoiyUdoHbbtwvmHRerfOqePQpkDDz,730.15,1953-11-14,2017-10-17,3876085176,3956
155,False,KbmitpcNTstuAccpRXSDACYvo,999.84,2012-07-24,2016-03-10,4561416859,1497
156,False,yHJZxkDppdUN,325.44,1950-08-24,2014-05-18,5793069265,3227
157,True,ysqyLVdvwQxqpzlKevoRmlQMwaIHdSBXFdSEpLTgTZQJdNaWwzqLnMNFTBBPfwLXAPwIPzbyFYn,612.62,1986-11-26,2023-03-12,5151754052,4541
158,True,wXLGJBTzlCXPIbuiWjgldqmAFUQqYQzUnkvgqTOGTsLXbkdte,960.24,1950-05-21,2014-06-29,3856739386,31
159,False,dVCkHcVMFIwFRmsEkyGUjDnwXzCPQjdcJFyqi,858.76,2012-04-08,2019-06-16,7217602462,4289
160,False,SGEBcVydAuLHNCqrnulIjvTjoyXNyvHdSHbWXNZUPDStoGpbZGpeasmoWzkIWqweXcNxxQqMoeo,634.21,1996-10-15,2004-03-19,2738052527,382
161,True,jAoImxNqBUnsgvaqnQaxorrVEdNNdhLhewuOtluFAlFCbhSXQzIuFdmlOqWKBQQyoDsmCz,455.0,1988-07-09,2023-01-29,9899413305,2551
162,False,YKkpXTwdOoVYPLPWZRcmkhMAPojMDMRbJD,330.55,1972-12-22,2021-01-03,7907110358,2745
163,True,rimyEsHUoFRCGzhIXlCKTPVJVATSKFYqNktKvVqunbdrDhNEIJyoNrjMumRbgTHiAZnEva,220.94,2013-03-30,2014-05-29,5270851600,4765
164,True,ZTMOzzFMiOybsCNAfISWjFLJszgwwbkUtYmOIUEdmEOkUxfJEbDEHewOHMXnyVAsTySDAGnjgZWkislUkZTraPfyjeyFGPyUSG,818.7,2018-02-06,2022-03-08,6986038187,3988
165,True,ELkbwulyYfchxINxkIjkTQcRZBYxJibyBYmgoCapjqztnWzxOiNPWzd,823.28,2015-03-04,2016-09-20,1765428941,2193
166,False,EfRhmotjPlsGSURRriviFLNcarrtWyPIlBQfOPZclDtshpxrIPgkkaUSTcOtgPfvKMClAirHclr,756.28,1968-04-14,2016-05-14,5548420408,1284
167,True,fIITzknfadEtATCzVJyPtaRgxaovlwLGNiZAmAVijNulVkXubdqzomqQLuPwJmYydAamHIRKfOKBWhBh,222.85,1954-01-14,1973-04-15,1920056084,4688
168,False,kSJpNrkghRrAmmsrOmMOsblfCgWaUaVRciVmdgWEXhkSYFHZYpSCBQIKiKnERBjLZkcfjak,799.2,1974-04-04,1988-07-27,2191868099,863
169,False,mpPOqsHjytWhZCkomNwUFmyAyxKheythwQUwKr,605.45,1977-05-10,1986-11-26,8544487181,3187
170,False,OzOzoMVlYBTvuIWsnAvXXycGuRb,17.3,1972-06-04,2014-10-28,3473062495,3384
171,True,vdKwrkUxJKAvLXPpIcNJyXmRJgzdUMMLodvyCngzJQEsoHobbEAXvAdqSCHcZUcfzqmuVnyDVYeVqtPBAhyrzhawNUPj,557.08,1983-10-08,1989-01-17,7665317338,351
172,True,tVQokHhsLeXeweDTzezNFzlAvVTpjonopwdEAwIaskVbparoJZLCyRPAeWgvdUszyYveaTzMR,102.43,2003-12-02,2007-08-29,7611563204,4047
173,False,sRZhelSIogBVPVDnnXpaDywPTOTRWTMxvd,759.87,1970-11-11,2019-03-15,5201401799,4785
174,False,dudRmQcRfNYwILDUYfpJJSBvYOWuWBoMwNJUUdreybIHGFtdVVDgTEEopOqcIInEizsxqsNdRplNqUMOuviIrLephZ,965.97,1975-01-03,1984-12-14,4036269580,1045
175,True,MODPmZNLASTiEslldYZyBifGQutsvRqCZLgwPhwJaLswdHeMW,573.19,1984-08-12,1996-04-16,6240886134,2889
176,True,yGipkQPKQAduNKgeXBcgQOxvcNGGA,631.48,1950-05-26,1998-06-02,7892080187,1155
