SCORE,EXPLANATION,START_DATE,END_DATE,GUEST_ID,RID,SCORED_DATE
0,WnDlXMUYiebTVjSuAeCguqrhjhWxUaaJLnmUKnWPZLJjERxneYmXmZcNnNmrNKVbAfkCkkMfwFyNoO,1984-03-25,1985-08-29,7816445018,2665,2017-11-07
5,uiRQYKkOJKOEaidIjLwmSEMGRGuPIOLelRFBQubhdeOmRbwBmyzim,1982-08-24,2006-01-08,9758555925,4173,2010-07-27
5,fePtBGzqBuirLNmPhOghOVkKFu,2012-01-31,2012-12-06,9349105693,3073,2021-05-23
2,qBICfAJZaRqqBwKIdUPWuoPEIoPBgTRvnbLbtHAiDaaZgaTsMWOLMWEEUvRiHusXXiWc,1956-03-06,1991-12-16,2724599934,3883,2004-11-10
5,hnsxYNNZTJzCTTPsqsZcAIOCMPqgeIYdDoHg,1983-12-05,1990-12-20,5142847098,3119,2018-01-18
3,lmebukoPZDOJBYDaJGYcsFErzbINNMaRYIcIGIfvjyluOxdpnNHIrKGJ,2021-06-13,2021-07-02,0731103064,3044,2021-08-27
5,myOMQxEmfBoxCOdskcESIEnKBzryeaWUkNOKIkkifjNDQQUezekDclQLtevfmGItkDoVWtWIbaSCJhOoWXokZEYVlDWsTyz,1989-05-22,2018-12-21,2285543266,3033,2019-03-22
4,GWFXYxUTRrCtDAluHdidHv,1975-10-24,1984-11-11,0113395663,1659,1985-09-06
3,ayJMSTDvoRhSPHoXggifnHHKVDLhffCUcJPEBgCUDrqbjIUdoXJFqUIQmQeoasRpljSAwKxpccWPNqUSkXoLWfrqcralsmjro,1993-08-22,2010-02-10,2802819151,2782,2013-07-02
1,mEUYhyjJgDvCSIJIxqIBBsYMVELS,2016-05-21,2016-11-05,3312374964,2118,2018-09-21
3,IMudPiMBSeAspYvtLyFimPGnTPgGnHxDRngnbXywgEqHlEfUytVY,2014-07-29,2017-02-28,4092278959,316,2018-06-28
5,sJITWFQYvOK,1993-09-24,1996-07-23,6420793857,1463,2015-12-25
5,sUaUeHIfmHjbXHbQ,2012-04-08,2015-10-15,9539236180,4797,2017-12-11
3,ngTfKmuCVnwQrm,1973-12-01,1974-05-27,4770640065,4835,1998-04-06
0,NVpzPseqhQdhTfbHpuuHSUNYmpiQUZUdPnLwEBlCBksZdmRarWrwDteplQRSJcGxypIBeNkHW,1975-05-20,1976-08-26,9844643580,981,1996-01-15
0,kjRoTJMZuKsnzkiCBzUxYEjBifDJeeodfYsacou,1969-07-10,2006-01-15,5050282666,3226,2008-04-02
4,dCJsRSdaOCgH,1960-04-11,1988-12-04,8190257421,2625,1991-05-24
4,wopyHxiqJbttExfoLCNgEgyTHmdgURaGGRHaOUwdHlPeWCcz,1975-07-05,2023-06-12,1088844271,4966,2023-07-22
0,DAbLPGtacTEceIDlRNjkRBKsxv,2005-12-23,2017-09-12,7903412844,2699,2018-05-01
2,kHmoLRujSsVLppLbBrFFToiUEuDJAXQaxGduSrXRMXIJCPgCgjusuPozuiRAUNAWLoGS,1960-11-02,1993-09-02,0955379741,634,2007-03-03
5,BdJvzxfHEYAu,1999-08-12,2006-05-06,3694433076,487,2020-01-03
3,GzERRbMJWotCxzFyYSzMbvuYAebpoytWMsKfJHbdGcaTLriSjidjXatXTxOqTrpORCDvYZqIFNKmgw,1957-09-18,2017-08-05,5392145232,3070,2019-05-06
4,fZHIweMwKKTVEnTHCDUKdMXiCCtcF,2016-10-05,2016-11-27,1137944239,3757,2019-02-09
3,gdtuEaGPAIAvchYXmXxFCLpMjDjBlnyOQByBGMzMFBntrJGansALEYggAwWwQzPZuVz,1984-04-24,2018-12-28,4472310854,4080,2022-03-17
5,OZCcbrNpHIcrkhMvEXwOAKFDkqjyyvTvmKdDGbhkgTwWAcLMyoKyqdoRqBadHVtNYaKloKsvpYUgQAR,1983-09-23,2003-12-16,7877619341,1991,2015-05-24
0,NRARgzWGZLBjdxlRtDJLCmayjkmofNYlndgubcQisU,1974-03-08,1989-03-26,6143376275,587,2015-01-10
3,gZfMhrUkBkMRcYvDFWDeUqNJfUBHbdAGtiewQpUcdqOExUOKlZXYSZlNHWrZnWPUmLtoRjNHXNckLMULd,1954-03-02,1972-09-23,0651214188,2438,2019-02-26
5,WOCDsogZIDYPUQsTHDdNqpTUARjaQwDwoqTfnUbpxJfmgnbzmvPbTEMStMJILQiifudPGDepWPLOqHymVb,1971-10-11,2003-05-21,5502363976,427,2021-12-20
5,MxyzyRZUGKhUGMnuvJSUOcVPgBqdpTMgFuBeJHMITumfXgUtTB,2015-01-21,2015-03-07,6097560135,984,2019-10-09
2,RPyCZwxtFZE,1994-04-15,2020-08-16,8215525602,1106,2022-02-25
0,ODqocuAztIYVtQRiCpwDdKZArqkjSjwfDnGTtBEHWniDWAJsrrqptRxsIkIEeKlwntTiIugmhZmoAHdxcechmQJqfSXsBGBKoZut,1985-03-05,2020-06-30,9371992108,1919,2022-06-07
1,TeHKtbcxCvLHQecQrgtsVktkpYIpBLzYWqAjYOHNMItCqdMuWYzXFjjZXvSQDHPdXqckmHfs,1956-05-11,1967-09-18,3415507548,3321,1999-03-22
0,MiRLvCcClixYDVqdgm,1955-05-13,1976-07-24,0090580899,195,1986-01-01
1,dYrSeqFqccFTaRBEeNBomhXgNcSFJawBeHBEoLioxNSGHdbNeZHx,1986-09-18,2019-12-07,6441913880,922,2023-02-28
4,UXozrvKilbwWUTcOgcAxjCXiLbqZEuzGQcweNSvFzdbBqjRYxGZT,1965-05-27,2005-03-10,7544291415,4740,2014-03-21
1,bqaDrrFlFuCbNaKVJeTfYztEBRLvZobcXdRBjn,2021-08-17,2022-07-15,5421312033,1142,2023-01-23
4,NzCcdXbfBIAWugYPKzHSovucemQLVxIMeVpthEAJHrbM,1960-07-03,1991-11-26,2102344188,261,2019-08-05
1,YvmEJKBlrofdPSfxBGiJkvnrHFHEsbDUcfcwNxycrlawDWzzEMvLcNNAWDjzkFJEKUAzzzy,1969-04-04,1973-08-05,4458626516,4384,1974-05-13
2,yompkynWFpRPcHLpKvthLqfVoqJjhkQdElecwOtImvoHEaaorcfepuAjoqBhruqIyDVVFngsWSPZOwKZgGmLdFkXxkAlNFUW,2004-03-08,2011-01-27,2345452699,2446,2011-07-19
0,XsjVaTgjabTvzDuWCYhw,2018-02-04,2022-09-21,6271252823,2058,2022-09-24
1,gCrVmjAiRCDMHubqEKzopalDPuPkKLseUzknyip,1957-03-31,1965-06-26,8157802164,2407,1967-08-19
0,xAkxplqYSjovUhhRxeGPBFgQPALEbgmgNhlskBvBdURPHmRDlKgPTqGpKdhiwCRSwiyoRZRXikDFblezhoLwipRtLLk,2004-09-13,2010-01-03,9359411677,3221,2020-02-25
0,ZjPpiibWeJwTkZfAtRxfgXUzFBrNbhmdvbKzEKcVtTnOWRwxSPUCFBotRomzWKdHnXxJlOTeFMxYrkr,1997-06-05,1998-12-21,2199191111,1365,2006-11-07
3,xBHKUezqsnqOVNEnuYAfEfUnJorriTqijHZz,1958-05-04,1993-04-18,6057751466,4572,1997-08-06
0,swaBQJhNEIXlLvkuGrfBTYzKoZsrGUBgWjyKYfMZCSBrYzWIdgjGjIkOkgARwxogYhKvxwPYRIYWbdjccQZwUcInTnaBDPl,1971-01-19,2018-09-03,5814111928,806,2022-09-23
5,yJHrwnEYzehGJkvPJWbbuvNGfKmROTltUCpNXsWWuZnEpZrxfLxwoOXdCvBjWjockze,1992-12-26,2021-03-02,6840237128,2042,2023-06-25
0,vtDnYQuBUlUnOtrjOcsI,1985-11-20,2012-09-16,3664762477,2276,2017-12-31
3,pispFkZRdBvQpoBKcgOmuJetCvyXBBODPXDkoCHWegWqnTgRjrjIsEzFdeyJDRJITKtabBXaYHorpUFRTXNPGreZuLGjLlXeKaX,1980-09-25,2017-08-25,6863176084,1829,2020-01-18
1,yjGdjCRUWZQStrlSGKkLdnoCJjskeIxCuyeyuFnPErEEiaesUTqoSyYmILAPrT,1987-01-10,1991-09-13,2993876819,2756,2019-08-25
3,vLtZDpCOaCBDPmVKWjxUpqlCrhcjXQskhkRjFBnotOqMiqkvYcmiXYDBkajrQJWaOBCcWGnhqxhZWgiTiuwnDNcIl,1987-04-19,2015-06-19,6628895705,715,2023-06-05
3,rOVdfPvjyvOXutsOSOYEOuiOpmffGqdbNRyibfYhvXlRJKcGxWDSH,1971-10-10,1984-02-11,5906767162,1599,1993-12-23
2,OaDTTzxXpfJpOpEmEUuJtsWFqoRfyQekoVfCjsZOYfCkcdsEfyNsfwHwcDvBGLsXjnCmQDaMJCmJZJBnHDDcJOb,2008-09-14,2022-11-07,3266105281,1223,2023-04-13
4,CtTvNpJpwVGYeGqRybVaCVhRrxzGHEEoIkeNsGwAFqwHKUOSBStBzbqZOrDFXuPJUiuOMXXTEgDztaizwoijLLjkRfDQCc,2017-12-17,2021-01-04,7936827714,3725,2021-12-19
5,heXYIZMUFRawpucNcSTGawFwhXTFwZpwGzBzFkEgUFKhCTmuwUWxPfW,2008-10-21,2013-08-07,9272262341,1518,2017-05-12
5,UuUfbeEFgxAOTXaCmdgLRIdpTzjHLzKMKBHIZzIwLkASqGCMrLvtrEPwIlDoCUyWpE,1950-04-30,1979-07-10,3538827441,1571,1982-04-12
3,aWpioUsKQsuBsnOreJraVNzCTJmfJMoShgRXVpAzijFyVNdHYeksulIiOMWPmUkk,1979-01-18,1984-04-15,4778219250,1960,2012-05-28
3,cphVoCuiLWPpaPZunJVhCESuAkOjLPRKyhKq,1993-02-09,2016-07-31,0532637590,4283,2017-12-14
5,nxGtnuwHqKXNVCMkRfkPdLqCJlHcyyHxQDoEtBtyTYnMIYQm,2019-07-09,2021-03-16,3418597310,2925,2021-05-29
3,HCjgCLIURkAZflECmAYheyFhDPTSAgNNqbJtNHWsk,2016-07-29,2021-06-08,8171582954,2551,2021-10-10
4,FumVxWZlBIKLZEhtjjIAcULYZluJfyBoINuQmHmQERHntyMRCHiXbSsuNhgaXwKifyoGoKEJINojKLLegNRJfNGCgaAjL,2002-07-28,2005-01-02,3907994373,2226,2022-12-21
2,ZjVBrgqssNpuXeGEz,1958-01-29,1996-12-31,2783919027,4359,2021-11-14
4,PcawnMNIQLizVCGjcHVQxymWp,2011-12-10,2016-12-17,1877180880,75,2020-04-07
2,vaMwymViAexmSpCbJBdRMhmmaWJgPMeWPuIzrXeQlBpHxHWMvsilpL,1967-03-14,2019-03-20,5734337563,3505,2019-10-09
4,lowSSRMbJgJEUOUoTHavsInIYgmHgJBcXHBSWOrVnAFNOwK,1974-09-02,2018-05-11,9418538469,3230,2021-09-24
4,XQOiWhVOVLSHJwfljLunxeDKGAovauUBGIVnhpEmcaYXhOHvpgmtklSkydeQVFRLlDS,1974-12-03,2006-10-03,4748689805,1636,2009-09-10
4,CFlAArCWNCVDAaMysBJmqwDlMvAFSnJGmKlbsMTnaVvAEUfnEl,1958-07-08,2020-03-08,0089615067,4750,2023-02-13
1,CePwzpLpgswbXXKPkSz,2002-11-03,2020-03-15,7158492176,2787,2022-11-18
2,rudevUuRyGOtnPwmVbVEDuEMtozDuzzyzasopuQXBfF,1988-02-24,1989-08-27,9105610638,3795,1990-06-04
0,DHqPdnslcHEfZpPwOPkrsFgtlnbIgabFLntPhSETLdsiiktpprGdShdHqAqUlEuMQAtimNLurAZsqHfXLpQHZxlZIUUwjecvGj,1992-04-15,2009-09-21,6948756357,1945,2018-05-09
2,QWrAoJfbpmWYhprTJXJocEWHLuTjJYOdXeQKZmmRkJX,1984-03-29,2021-01-03,2030434038,2682,2022-06-09
0,AvvPvyeRCfchkDKkEAWedxLIPwIhiFcrXnpaDqipgAUNxibHuwDCeTWVrGbrIAjCmtcrsvuXmtiveNCE,2011-08-02,2012-10-19,1838726628,2996,2020-04-29
4,GUemwPbGBCBEQzReWeKCrWiOHeFLUFonDRAyXvBZMqDhqxFiAlzqHDFXzuZmIlKWkJgbZllBHrdeGsFO,1998-08-31,2001-10-30,3954513712,784,2021-07-27
1,EJZWmNAFCwf,1999-11-28,2018-04-09,1095456297,3902,2019-02-07
3,HAVltJLXFnYirxlcWLOqTgLntfZGgwgG,2008-06-12,2009-09-15,0513719769,4441,2016-10-31
3,xybRNtUHeTgbkZjQwycfBGOlzjfeejYXlajAWHsbOTC,1956-08-13,1988-12-13,4801733525,2501,2020-08-04
4,jCLOAvWjrqtAnclkxATuGmGpJqgQVwLImVNcKiCCEevnrrTvZEJEVZiBReGhOfrmXDXMXjBjgHXHGcWwhO,2003-11-21,2011-06-17,5826161825,4292,2018-05-19
3,TlzMdxjAIPWicruTTFttowidqYoalxFpMIwynaseJqGAwZnajcwfebEOaYQmjjblCCFeVxRnzjkKfQqNPUtycs,1961-11-06,2009-09-22,5283292202,923,2010-06-05
1,jkVoKMnfxjPfuNusbmeKdxurcoxxAfCirTWjcsFTXO,2020-05-04,2021-07-20,2047342147,2015,2023-04-23
2,vqJdtuUlNIDb,1967-08-08,2005-10-08,7052475214,2887,2016-03-17
2,CQGJtQibYdRqUcNEDHQpaeObHKGifAhhYtpCyoynxZPvHXn,2004-10-13,2011-11-24,3266105281,2852,2023-02-19
3,OMYOVlfAuGkGMuthXaGtbchdhYaZFJIZLhE,1979-11-05,2022-12-09,3993078345,615,2022-12-12
0,oBpLpzOjtQAVbCueLZqHOqjSOkZKqKGljugWQWrTRplXWkHkVgNsNHrfprTOg,2011-10-21,2013-09-04,6171133320,4625,2017-05-04
1,DorHpWrvKaEWnAafYTWQJzpJlyRcQJDAgnFyr,1952-07-18,1986-02-23,8958890947,1842,1986-08-23
1,fyciHjaLpORuBiQzSFlbwbuWgwdeUHytkHRKvfshuCaDYTsQjANaqwTfIPokNuIhKC,1971-09-20,2005-12-22,4440753780,2276,2008-11-23
2,XgMeqYnJjXveDxMcaFWfCGbdFrwrHmNkgwMeBbWkoVctexLBoOuQiWxeOVzpxElUcmkWIwTCppyKGfkJdDvmCVQx,2022-02-01,2023-02-04,3359131289,4474,2023-07-19
1,neGQfHLbVUhlkSJ,2003-10-31,2009-09-22,8210620315,2630,2014-10-23
0,ryMbTyOfRH,1999-02-27,2005-05-03,9221993899,1935,2010-09-17
0,cCFbQkFIfFAqxGEcWWDXtBKNFwJlfoGzXwhwpbITtFWcvjUUCjfH,1956-12-17,1997-09-05,3390033754,4147,2003-11-28
3,lgfmSDnetceIueqtISIknxRRkjSeHwPKSatPoVUiRaEuhdiirzHBWoQpsSDmSCvXnenbRoAIGLqmSjkXVrqIvlKrBKVfUx,1954-07-02,1988-11-16,1631362975,503,2003-04-03
1,DBBBvLJHLThRPQWSwpWpGWxCHphFCsPTOWdmmXzGhYWI,2019-08-11,2020-05-20,5674133763,221,2022-02-01
4,HYUndhqTzRUcdxGzlcIwGCcvBgACyBWajLaephpMkZloBvMEInDZOakLVqmDOyoDoL,2011-10-23,2022-07-25,9156153630,541,2022-09-13
0,VADKCNAjHdYz,1959-07-07,1966-06-23,2810150104,2649,1999-02-12
0,wOvXsoPWYnvFzbTIzAYpmSYGGSYkJZQDQCtdeGVOgVcwFkKMIZyvomCQDuviuUhtZfVCZadBabRVHwOzSYyieGbxVW,1981-09-15,1982-09-17,7797625030,769,2003-05-07
1,EPFIEtSKtlzecQfyIlZFDqMevpzccvEUICcWTjLOxAKrLvrjTZUdkrf,1994-05-07,2010-04-04,8325112304,927,2020-09-03
3,NijLLoMOPsZqhyTWqACbUTBJrae,1964-03-06,2001-08-18,7374537116,2782,2004-11-19
0,mqNvXJibQzxciCogeHgDzEnyMnFCpzslRAjxunHaLnfIwbeeDaCqTkUTmNLyWaMrNEOtqnVUeRgJfkccvczEbJznpA,1976-01-14,2021-03-31,6121940224,1665,2022-06-13
5,aaqllhNSInUcsPceEuqQytDCjExNFsMzMwWSCbVvzqTbSYPPcvvlIPDtTiUfWIRQMuvBQIgBhLXL,1974-09-16,1984-12-24,2807486718,1498,2014-08-30
1,PHQRFvEcsSZoYnUMZDeVPbpNlEOfrVcPEvzgGOCMJVrPBfxebXxfZCNBdzweBJPPqgfEC,1963-12-22,2007-12-22,9401070135,2279,2008-03-27
5,vTQnYLLgMzfNreOfIbqMcILHOvaurCrIsLknkhoTEgpuxmbCwkjWRmBCpZBuKHToectOsAoJlaNwFKWN,1977-10-14,1989-04-30,3516187695,128,2005-10-16
2,LBYdeKRplbMPFNmNsPLbtlXApyWJPTkJyiODtJebRivDQBiMdecBbvtNivnsMPwKUqmlsDvjalotCzmaDSpugBEmjEhFAUknqKn,1957-05-23,1997-03-13,5349159733,3906,2005-02-08
1,CmwzGvsjzZOGrdFMeKZsfgsLjoKvatZI,2004-07-25,2020-12-03,0276324535,1962,2021-11-16
4,oDzJRplrOXXEvRDMffGMbZaRJFgPEHyDGsBFiBvfmCi,2020-03-27,2020-11-12,4077211370,2393,2021-10-18
1,yXVUqEaCdQkIxwIzHjCcxXuwFypczTIDrAzRYeHqEoMVMMKU,1976-06-06,1992-05-25,4065968191,1570,1994-01-02
0,cWvdgkWldnCFQFXmGTzxkdPRptSYCKnWUyIXjDOWRhdAjdoDhQZtqkkAQrPSriQvFkgdNNqQrZZptWCvLwesZg,1971-02-18,2018-03-08,5583608342,795,2021-12-26
3,IypePdjVhaMHPVCxLpifarkoirXLxmPBWLHcFSpAdBWbEJKRXLjszgHGRGbegzgwYGlBcAHCPDeIHrsDYxAhNWFiRu,1988-05-29,2002-08-08,9638959564,650,2022-07-25
0,ZbGpMParAnriwlAhSyYQWImZYwwhr,2008-01-15,2019-04-07,4574500986,3626,2020-09-05
4,NoLudzcjxqnrkrToGyFnkwt,1983-07-06,2018-08-12,1985509807,4149,2021-02-18
4,OUkxZGzPvDtTnZjGFoTqquLCJSeKroCKaZxKsIFcMxEyfoFAESEZCIHDBVDNsBTFxvFUsmBohscxCLcsZFdCcZIj,2017-05-28,2021-01-28,6543318615,1816,2023-07-12
3,aHDoXIMpOUXlfNmiweYkuAutljqCPayUoxvAKzwKzVxUuZy,1979-12-23,2008-05-22,9048103712,1352,2018-03-12
3,IqPVZAVPwVdjhyAbGoXAYuyXDRamykcOKyjryXtfYsFdRbHBARgGaajsedMLsH,1978-03-21,1990-09-10,9859909751,947,2010-07-21
1,rnCiSRzEACKRnFKittNXaqfTImj,2022-03-27,2022-06-22,6608157713,1113,2023-04-14
1,NpfKQcDyxqPPfhwepYNWssjM,1983-10-08,1989-01-17,7665317338,351,2015-03-10
0,TwRXRrfFaFMqGpWFvIVwSEHnZwGzwaKkcgXGmDGOelPGUmcONXFEUMVsSYUAPtHjdowFiukuhukP,2022-03-04,2023-04-08,8563727209,3822,2023-07-20
1,NlTKPJIiFVzFjJW,1953-03-25,2018-10-31,7498985744,81,2018-11-14
4,cxWWtbFhvFptyLx,1977-03-22,1982-07-24,4630952868,1224,2006-05-15
2,lPFrKGSLHhanOjxFIjxKngHKbIKQrNDjMDzTyhhGFBjqPoZm,2011-11-10,2012-01-02,0281041410,1817,2015-11-13
1,AnIZUDoEmoIxOlIRSLeTfWr,1975-09-09,2004-08-18,1603970554,3384,2011-05-17
2,yrXaTutDsBLselpOkoQazXvVlxaQrPjXEZpVaQrhNxVDfrmS,1980-03-17,2014-08-24,5645978254,1391,2019-04-18
0,kgABntxrDfPcwgfSANmeIpaxaMMtNbjSjSLRPLSkfcLeBD,1987-12-24,1992-12-14,7189889796,3366,2018-11-13
5,RgrDlEPHNYJMrGhfXMQpcceuvcaCbToEuWNygfUZaCOmVPDCwDDlatMLaXIpkNEROpIzIhXydvgUbXMefqGKpFzGLTJJPM,2003-02-06,2005-12-27,1471040546,1528,2019-11-25
1,uPvEZcBKwIqu,2008-12-24,2023-06-28,4149680407,3689,2023-07-13
5,oPQrIZMHdHrstElzvJUZbMYrJtfUXdKGBJiQIFrbhXMATEgBuqVTARnngbkLQLuSaDrscHEJybBVCFgLAymBYeOH,1989-02-18,2016-06-10,0937329770,396,2021-11-26
2,daYVpMALJkPwCKEDrTgikfvyskUdqWDeGFNTghywkqwyMmVkifmhJKxmiTtYertucGRKJMrFNXAyPen,1950-09-30,1984-01-17,6202082253,498,2016-08-14
5,ZkvBpKYYFGhSVthPJijtqIOBsHfyFZnLWfYjOEKWTUUSGNcpRmjwXDUNWdBpicAsKN,1996-07-06,2008-06-13,7704529505,4048,2012-05-10
2,vKfkEvEKJNpfDxKoAGGWWZKTCKDdkYZqHmUhXNHEtnUggZDgReSJ,2019-08-13,2020-05-15,6828276465,4606,2022-01-01
2,yvbOpPhlSlijiNSpfuJfBzOhFzhIyEQZfOhNQniZTFnXnbWCEBKWIfauvykwogHSnDFSVpbTyfaCzYfWAgwKa,1960-10-09,1992-04-21,7906117470,1808,2017-08-22
5,BLRRNmCORreNgBnOdeOfbatWuzWcjoPmfHOcTEhfvJtGHIfUZNYEQayxipoYgxxLTIhmEdGGnKjAdN,1964-01-13,1977-01-19,1068481234,779,1990-10-19
5,pDHivCexDDTzBnYaPvPhWaCLqNDMZvlzQzaU,2017-03-27,2017-06-18,2863288256,1947,2023-03-12
1,hSuocnjwJxIFyUXdTuFRdfIevQ,1992-11-06,2015-06-16,8198743167,405,2020-07-27
2,ypOSieqCOHMIiTxeSxJpqbscdbnKGV,1956-04-06,1961-03-25,2783053670,3724,2000-03-06
4,XcQcbKajwbryUFugGDAQyPMiPlWrDZdvXjEKuteIOuauvnPmNpaHElEgyYJXdwWvKrPlxMIo,2009-07-27,2021-09-27,9168935840,1304,2022-12-14
5,LnPgSDWYyLcuxQ,1990-02-22,2014-02-21,5239964622,2872,2017-07-06
0,DHIUrXJJezGkgolGbDtWEEgvtPsutjBrwGswLssEovdDPbDaUyooKGvSOiklSJMKVorZ,2011-05-15,2014-01-06,8465720852,3383,2015-01-01
0,qSHOLoZqegKHCPbYxhJnPaYHkIPTcPQNhYbKvs,1988-12-13,2006-12-05,5832841534,4629,2015-01-13
5,rkwBSKpweulzDVj,2005-06-09,2022-05-25,8756150502,1196,2022-11-12
3,zctXdXZZftqWOMPCqvDljLrEmhpydIkWWLqvuAjBcIxEwCEXLOzedxUkYckiSeyIqAmxuoLyehxuNLLztXpspIy,1953-12-26,1997-04-19,7393222827,2654,2016-10-18
2,ckuhssphXnwIoYcTtcQcj,1986-02-18,1993-04-11,2109552823,1688,2008-10-20
4,HagMGMHxDdJe,1971-03-18,2003-06-03,0685691701,1621,2008-04-07
4,JlftQFDCIkSHERFGvLSLOfTbrVxRAjPCsbfG,1992-04-20,2014-08-11,6086721310,4406,2016-07-31
2,KbUCnAROLuSshnafTovDkVtLxbBntrsQycFCorNjRypMoKLDzbnjpCjMiQfkQdWoPsVtLSQnjrNLlrrJgKcGGHSsjizEtkJoyvTr,1971-06-13,1992-02-10,0752771836,1991,2004-12-24
5,yKiHKJSphkyEODNAhVpJMKWeRkCMBYaZLBaJMLjJcnWExloC,1961-06-13,2022-05-11,7584904839,2069,2023-02-01
3,sUdOIDCykfXvkXcL,2000-02-27,2005-06-18,9300622804,1305,2021-11-14
2,WKuSvrHKQgQsAULouwIqjOm,1977-04-03,1983-05-10,4500888023,1304,2006-07-21
3,qxNOCvLfqgRhdWJpnjlQqkwwPPzcuhEPxXHSFNBaVCdkbNpuEuNueRpzjJTqbeenfEONXUZHgmBKMPcnmWcWzNXPFAGTH,2018-05-28,2019-08-02,3926823129,718,2022-07-11
2,PkoSjelPowbHnqSSdWUWNRa,1995-04-16,2020-01-21,2899419765,657,2020-08-13
3,YtEWlTipCXPChCwvEMEEOxCYptXGbFgofUfqRHIwOeLnXUgTtI,1982-07-24,2016-05-30,7067536573,4465,2019-02-03
4,kgUvcObjaWwgombgJQCDtPaM,1963-02-05,1998-05-12,2937293563,515,2019-06-29
2,ViQVXMUhfKipVAiseCmjcnadCMeRw,1955-03-21,1966-05-28,4484312832,291,1968-06-08
5,XbFRamQLqQIcoLXODKVKpqhjFpTKmQUMCaVggWSLOVVaZjIgQZIvhpUiBIrYeIUSGVGFTslbvhxGWrZwrPPVnmUXVuet,1950-07-11,1952-04-18,3503274683,518,2001-11-13
3,qiptZcpTpIpNQCcOziTIPITLURvXepUUbmUYsEMD,1990-11-14,2017-02-18,3957126862,4341,2020-10-03
5,OVcpefdoHBPCkALBVEmleEwK,1955-11-26,1993-04-25,4745384745,2554,2013-04-21
