PRICE,RENT_STATUS,CANCELATION_PENALTY,START_DATE,END_DATE,GUEST_ID,RID
919.69,Cancelled,696.9,1996-02-21,2017-03-27,4533333954,3844
18.71,Ongoing,0.28,2004-08-25,2006-05-25,1071919619,1311
22.27,Ongoing,17.49,2019-06-14,2021-08-16,6582740473,609
484.03,Cancelled,68.42,1996-09-01,2012-05-13,6340491744,4780
951.12,Cancelled,552.43,1975-08-24,2007-08-24,1032985879,2057
382.86,Cancelled,244.12,2001-03-22,2020-06-08,3957126862,2319
624.06,Cancelled,24.07,2015-01-21,2015-03-07,6097560135,984
387.94,Cancelled,371.09,2013-02-19,2023-02-23,6146112179,1781
351.05,Cancelled,189.62,2011-04-01,2019-07-30,3259885624,1055
792.24,Completed,475.55,1979-01-29,1981-07-16,4889643113,4868
924.84,Cancelled,268.41,2009-02-08,2009-06-02,2271591606,4991
117.12,Completed,90.23,1997-12-07,1999-10-30,7443401158,3436
894.34,Cancelled,276.42,1961-02-21,1977-05-10,1617730339,1179
17.11,Completed,12.14,1988-09-08,2006-07-10,6298797943,4614
192.68,Completed,0.05,2009-09-19,2018-03-26,6493403719,3110
242.9,Cancelled,21.92,1959-08-18,1992-11-11,1370689521,2285
632.03,Cancelled,564.09,1955-07-20,1957-08-01,0461198414,665
796.8,Cancelled,560.26,1983-11-15,2022-06-01,1332480074,4902
901.33,Cancelled,19.85,1986-10-01,2018-12-25,5025687285,2471
589.07,Ongoing,585.2,2016-10-27,2019-10-20,4096723964,4196
934.18,Cancelled,569.48,1974-02-26,2017-09-26,4234249379,1245
596.74,Cancelled,340.46,1999-02-24,2006-09-28,3495791528,2858
907.37,Ongoing,428.33,1970-06-06,1996-09-15,5900377619,1936
248.63,Cancelled,195.02,1986-11-26,2023-03-12,5151754052,4541
52.44,Completed,42.49,2009-03-15,2016-11-15,1633562416,3049
364.79,Ongoing,1.02,1991-02-16,1998-10-19,8438870151,3364
788.65,Cancelled,372.12,2018-04-30,2018-11-23,8872181531,4486
668.81,Cancelled,496.34,1974-07-04,1985-07-27,1055579976,3132
318.32,Ongoing,114.12,2020-09-09,2022-05-07,7821863628,3787
288.5,Completed,156.18,1984-06-03,1997-02-26,5944287642,1291
623.1,Completed,23.78,1963-11-30,2006-03-11,9884329661,213
585.61,Cancelled,455.38,1971-02-15,1994-12-31,2485181766,2984
182.67,Ongoing,92.83,1998-04-01,2018-02-19,6555415289,3522
213.32,Cancelled,62.3,2009-01-23,2022-03-27,2285543266,4284
154.06,Ongoing,3.14,1956-01-10,1979-02-20,1768477558,1120
620.6,Completed,10.27,2005-11-06,2018-07-15,7622712819,2591
483.28,Cancelled,395.46,1953-01-19,2009-03-05,2804494833,2436
842.74,Cancelled,31.56,1994-11-25,2017-05-21,6806460512,4916
762.28,Ongoing,421.74,1974-11-28,1992-07-02,6255226589,2571
619.65,Completed,402.39,2011-08-18,2020-02-05,9433829348,2048
912.25,Ongoing,195.8,1962-05-29,1967-12-01,4263241079,2557
650.23,Cancelled,183.76,1963-10-18,2010-05-17,8348391021,3102
37.87,Cancelled,14.21,1986-08-16,2020-12-26,8566138788,3398
657.91,Completed,122.72,1979-12-06,1980-12-31,8221947455,2898
283.78,Cancelled,198.41,1998-06-02,2021-10-06,9256052423,858
45.46,Cancelled,14.17,1987-09-25,1994-11-13,9408424580,3934
186.9,Cancelled,104.78,2004-04-09,2021-04-08,3749956975,3522
606.67,Completed,12.27,1971-10-18,2015-03-05,4911853987,22
739.68,Ongoing,178.29,2017-01-11,2021-01-19,8390749169,2941
249.08,Ongoing,247.89,1971-03-04,1996-07-23,6057574740,3860
338.35,Ongoing,322.58,2015-01-03,2019-09-11,4623183985,3778
732.25,Cancelled,214.91,1952-08-30,1974-12-04,0675254205,3463
24.76,Cancelled,17.83,1954-04-04,1991-05-18,3019865573,216
412.92,Ongoing,229.55,1965-08-18,1990-09-11,2400567234,847
985.05,Cancelled,860.93,1982-10-05,2019-12-08,0352174880,587
462.4,Completed,401.66,1987-12-06,2009-12-07,7308592496,3993
207.01,Cancelled,49.36,1950-12-19,1967-11-27,5037370637,2222
504.39,Cancelled,220.76,1990-06-14,2009-08-27,5265790283,2993
999.28,Ongoing,174.25,2003-12-07,2019-08-17,6644757337,2172
47.82,Cancelled,6.46,1979-01-29,2004-05-13,9745945395,1084
794.95,Ongoing,173.06,2001-02-25,2008-10-04,1768477558,2407
814.1,Ongoing,331.31,1979-02-23,1988-03-31,3775584809,4096
768.35,Cancelled,20.73,1997-11-08,2015-01-12,4499390602,2044
704.49,Cancelled,430.57,1971-05-02,1984-08-26,0349929378,3558
295.57,Ongoing,114.19,2013-08-31,2020-03-23,0323436949,1838
403.65,Ongoing,100.92,1981-11-08,1989-01-06,8983961307,34
163.56,Cancelled,17.87,1955-12-30,1976-01-30,2894541096,2596
263.17,Ongoing,183.86,1967-01-18,1990-03-11,8291658507,748
427.12,Ongoing,318.46,1966-09-30,1971-09-03,2182427635,2792
131.14,Cancelled,81.22,1950-12-17,1957-05-28,1924474855,2703
719.75,Completed,316.64,1953-01-17,2006-05-17,7512213346,3722
835.28,Ongoing,378.32,2003-02-14,2004-12-26,0928123513,3970
669.82,Ongoing,634.64,1959-09-23,2023-02-02,0077085388,2076
427.32,Ongoing,113.91,2022-06-02,2022-08-12,2386374463,332
713.59,Cancelled,479.56,1992-02-09,2008-08-23,5300568317,2463
424.29,Completed,72.19,1960-02-27,1978-06-11,1679093091,2623
816.07,Ongoing,147.15,1961-10-30,1986-12-25,8696857655,1923
836.85,Cancelled,802.45,2013-03-28,2021-06-18,5172857660,3714
564.08,Cancelled,271.51,1970-03-13,1978-10-03,3668749836,2220
84.95,Cancelled,78.28,2013-05-19,2021-10-26,6435075730,3558
154.42,Cancelled,49.2,1998-10-17,2013-04-14,1932489781,1552
418.69,Completed,241.75,1992-05-10,2015-09-08,3817693462,1069
316.39,Cancelled,313.58,2003-07-28,2017-02-27,6104637467,1197
217.79,Cancelled,19.89,1959-03-05,1976-08-07,8344094383,3973
893.43,Completed,766.29,1997-09-26,2008-09-04,2734508450,2419
393.74,Cancelled,124.84,1974-09-02,2018-05-11,9418538469,3230
960.54,Cancelled,200.33,2020-06-22,2020-10-08,6504730166,1432
501.32,Ongoing,114.91,1960-07-25,1969-08-22,7820560626,382
900.73,Cancelled,779.13,1954-07-15,2018-06-15,8958890947,42
765.82,Ongoing,736.64,1986-09-15,2000-04-20,1929983811,4992
516.24,Ongoing,188.27,2012-07-05,2019-06-25,0413836504,4416
884.81,Cancelled,856.98,2011-06-26,2012-08-24,5050282666,411
16.13,Cancelled,7.88,1989-04-15,1997-10-22,3128475835,4523
830.67,Ongoing,684.17,1970-08-04,2013-10-03,9729280395,4414
982.09,Completed,245.88,1966-09-24,2019-11-30,5635878764,3089
588.08,Cancelled,263.98,2020-07-09,2022-02-19,0967147059,728
615.95,Cancelled,211.8,1978-03-21,1990-09-10,9859909751,947
26.57,Cancelled,13.12,1994-09-13,2005-04-14,1289017331,440
291.64,Cancelled,187.24,1961-01-19,2008-07-17,8003706422,1799
881.27,Cancelled,25.1,1951-11-01,2003-04-28,1696723769,2575
448.27,Cancelled,35.37,1980-11-28,2005-06-28,8758990152,371
180.31,Cancelled,60.76,2017-08-31,2018-09-18,1660209373,219
209.7,Completed,66.08,1959-01-14,1980-11-16,7910566879,3888
774.84,Ongoing,427.58,2007-04-02,2014-03-22,3863407220,4057
330.5,Cancelled,220.75,1995-08-24,2022-10-04,6902372646,2963
611.56,Cancelled,117.1,1959-07-05,2011-05-01,7345303455,370
800.17,Cancelled,76.53,1955-01-19,2014-04-22,7600641889,4322
322.25,Completed,179.37,2006-02-14,2006-10-02,1714150862,2296
54.56,Cancelled,13.14,2012-12-15,2017-04-21,6565369729,3909
577.96,Cancelled,368.26,2000-10-18,2021-09-08,0632991900,4751
716.59,Ongoing,682.15,1978-10-17,2011-11-09,3481652110,227
58.26,Cancelled,7.47,2001-11-12,2019-05-13,5415085782,1643
535.38,Ongoing,336.86,1992-02-28,2006-05-09,2472682890,4553
225.36,Completed,31.1,2005-09-26,2021-03-30,9085704420,965
294.91,Ongoing,57.86,2003-04-03,2023-07-21,2362421971,3896
187.77,Completed,48.52,1996-09-06,2003-05-02,2426657195,2165
29.3,Completed,10.33,1980-06-26,1983-08-10,5479302391,3166
785.72,Ongoing,163.49,1968-08-12,1974-07-22,8753457607,2450
845.18,Completed,358.81,1989-05-12,2004-03-12,6909311998,1565
993.81,Completed,453.06,2020-01-14,2022-06-20,6650952453,1610
663.32,Ongoing,398.43,2020-11-28,2021-12-30,2272275150,3435
463.8,Completed,35.75,1994-04-13,2011-01-23,1932489781,2161
67.68,Cancelled,8.95,2019-03-08,2019-06-05,0664328810,288
76.81,Ongoing,58.89,2016-12-18,2019-02-18,3797207733,1253
945.04,Cancelled,920.8,1982-10-06,2021-04-12,7927374318,1142
648.89,Completed,595.67,1974-08-08,2017-01-04,5407775668,2276
459.36,Cancelled,236.51,1973-10-28,1993-06-25,0229878562,632
689.44,Ongoing,415.77,2010-01-24,2021-01-28,8873068267,1446
232.15,Completed,23.89,1960-01-29,1960-01-31,5763111322,1711
702.37,Ongoing,388.6,2004-07-27,2013-03-09,0082062569,3682
224.75,Ongoing,127.21,1982-01-20,2014-12-08,3792594303,933
439.42,Cancelled,55.75,2017-04-23,2021-11-06,6401686961,478
861.08,Cancelled,621.93,1982-01-13,1998-04-06,7225146191,3590
327.56,Cancelled,254.83,2002-01-17,2006-12-29,4021272891,2646
813.34,Ongoing,475.06,1995-06-09,2008-03-14,6806179627,1715
93.9,Cancelled,78.82,1950-02-23,2014-07-15,2404171264,250
458.28,Cancelled,175.38,2005-08-17,2008-07-02,9191978926,944
579.67,Ongoing,241.02,2012-10-07,2020-12-21,0778982131,3411
632.83,Cancelled,249.49,1958-05-07,1973-05-27,1941123834,1625
747.62,Cancelled,518.82,2015-09-18,2022-01-23,8273333201,1858
451.01,Completed,428.45,1993-11-28,2021-08-20,3664148899,4272
754.91,Cancelled,288.42,1950-10-10,1994-03-28,9279252887,242
831.75,Completed,3.47,1971-01-19,2018-09-03,5814111928,806
807.94,Completed,566.55,1959-07-21,1982-06-19,6340491744,1703
7.76,Cancelled,1.61,1964-04-11,1999-03-15,0368218162,4153
765.96,Completed,697.22,1990-08-23,2015-03-23,5465984055,1381
349.91,Completed,22.25,2022-11-22,2023-02-06,5270851600,381
882.76,Completed,249.62,1995-03-21,2007-10-14,2988712762,4811
586.48,Cancelled,522.68,1989-04-27,1992-09-28,5547795958,651
945.03,Completed,781.21,1965-05-04,1999-07-20,9155513577,852
260.81,Completed,134.13,1954-04-29,1970-03-02,5284675533,581
543.86,Cancelled,287.91,1952-09-18,1991-06-01,3075501627,2455
653.64,Completed,27.37,2005-01-20,2011-08-13,7660628356,832
734.22,Cancelled,704.01,1951-05-29,1955-09-06,1106548554,4791
877.04,Ongoing,230.84,1973-11-14,2004-11-08,5025481609,2495
774.29,Completed,121.02,2009-04-18,2022-07-25,7602371939,2130
8.08,Completed,5.7,1984-11-29,2020-04-12,8962497724,2860
700.73,Completed,176.95,1984-10-08,2008-03-09,2446044634,604
486.4,Cancelled,219.41,2012-10-03,2019-05-18,9376805765,4355
149.28,Ongoing,25.32,1963-04-15,1999-04-10,3145470056,1748
39.5,Cancelled,19.31,1951-11-10,2004-09-21,2222727433,3403
962.1,Completed,831.63,1975-02-26,2022-04-09,4186166695,1705
380.87,Cancelled,103.16,1964-01-20,1986-08-12,3962971273,2926
928.04,Cancelled,838.32,2017-01-15,2018-08-09,1035924357,609
834.23,Ongoing,586.08,1957-04-11,2009-12-01,5223302229,870
862.98,Completed,379.94,1957-05-24,2015-04-11,7725754853,4822
192.23,Ongoing,16.57,1950-05-09,1975-10-04,4355317674,3598
897.53,Completed,823.01,1950-04-13,1986-04-26,6734828910,4742
546.3,Completed,67.38,1982-11-08,1995-03-29,1074943593,3036
669.18,Cancelled,656.36,1958-04-18,1983-10-05,6768980784,2645
367.02,Completed,270.68,2012-11-23,2014-11-09,7725815688,217
768.42,Cancelled,389.85,2014-08-08,2016-06-25,7297122318,271
888.9,Cancelled,357.06,1992-12-21,2017-12-12,2889967001,4155
377.69,Ongoing,286.33,2013-10-06,2017-02-23,9250918967,509
494.52,Ongoing,5.47,1991-01-06,2023-01-22,7644886824,2484
64.89,Cancelled,30.32,1979-01-09,2010-04-26,1521636796,2293
788.13,Completed,16.94,2014-12-09,2022-11-19,4125709311,1481
537.1,Cancelled,67.8,1950-08-24,2014-05-18,5793069265,3227
104.68,Cancelled,17.02,1972-09-25,1990-03-07,4400786991,3475
990.71,Cancelled,580.28,1959-09-18,2022-03-03,0483131410,3354
67.15,Cancelled,42.43,1962-06-23,2018-06-12,5294156388,30
933.38,Cancelled,110.91,1958-06-22,2005-04-29,9042395260,3292
368.35,Cancelled,322.49,1992-12-03,2020-07-25,9898374980,209
109.59,Completed,80.07,1982-08-24,2006-01-08,9758555925,4173
87.05,Ongoing,67.99,2023-05-25,2023-06-10,3997473296,894
829.08,Cancelled,70.86,2023-03-12,2023-07-09,1196890653,2984
361.78,Cancelled,317.67,1977-07-22,2018-06-14,2081368829,2989
29.56,Completed,21.42,1987-12-02,2005-04-07,5107022496,4438
32.06,Completed,20.03,2014-11-22,2018-01-01,6953778721,4634
13.19,Cancelled,10.06,2008-04-27,2022-06-01,2118268008,4366
288.13,Cancelled,114.77,1952-06-06,2003-07-04,2509581017,2430
997.46,Cancelled,501.25,2000-08-03,2019-08-19,8162430841,3408
739.06,Cancelled,59.17,2016-01-26,2016-07-24,8047439613,4500
494.54,Cancelled,148.82,1961-07-01,1968-08-22,4154059656,4504
130.89,Cancelled,27.91,2013-03-23,2022-03-19,0279880893,1521
526.23,Cancelled,267.39,1950-08-19,2002-03-31,4989159188,4570
145.56,Cancelled,77.83,1985-10-05,2009-06-16,2352443555,1464
108.64,Completed,53.82,1985-08-03,1990-02-19,2925294152,4281
249.66,Completed,71.7,1996-02-28,2009-06-30,3283655261,4928
547.11,Cancelled,426.49,1963-05-07,1983-12-07,2805265758,1395
648.66,Cancelled,309.75,1980-01-23,1989-08-06,2070268220,1022
651.53,Cancelled,485.7,1972-12-17,2010-01-01,0225336989,4214
743.23,Cancelled,382.99,1974-06-02,2001-03-03,2162553298,1271
56.73,Cancelled,51.0,1980-10-22,1994-02-14,2349917022,1030
511.94,Cancelled,372.31,1950-06-23,1955-08-12,1759133210,2740
527.11,Cancelled,271.93,1981-11-13,2005-05-06,5684418391,1225
508.48,Cancelled,458.54,1985-06-30,2011-10-15,0502601609,3017
443.58,Cancelled,108.45,1956-05-28,2017-03-25,2404171264,1734
570.8,Ongoing,195.6,2004-05-09,2021-04-27,4157694059,4454
607.13,Ongoing,316.53,1953-04-06,1968-05-12,5938515996,3974
963.1,Ongoing,851.03,1964-05-27,1993-02-12,2361816614,875
115.42,Completed,68.02,1959-08-04,1968-06-26,9754272699,4810
495.36,Completed,76.25,1963-07-13,1979-12-01,6434639792,2310
558.35,Cancelled,454.87,1959-03-18,1984-08-14,5786925752,202
632.74,Completed,243.19,1990-09-26,1991-12-17,1251592097,3744
802.58,Cancelled,71.05,1967-03-29,2010-09-21,5158251663,1467
436.06,Ongoing,307.57,2018-11-06,2019-12-11,4994787683,670
917.98,Cancelled,579.06,1975-10-21,2015-06-13,5646013551,1775
803.53,Cancelled,657.92,1974-05-23,1976-12-23,0823880419,64
899.91,Cancelled,871.13,1995-07-14,2012-04-23,4396188999,2699
340.68,Cancelled,242.97,1966-06-26,2021-09-17,2740821088,1130
378.92,Cancelled,352.15,1993-08-09,2010-01-27,5717039367,4847
754.75,Ongoing,370.92,2010-08-03,2011-05-30,0433432744,4422
890.67,Completed,832.85,2001-04-06,2003-11-12,9156153630,311
395.39,Completed,381.25,2018-02-06,2022-03-08,6986038187,3988
852.06,Ongoing,492.68,1984-12-02,1986-04-13,0494552415,2830
332.84,Completed,49.56,1989-07-04,2009-11-10,4213185476,3647
779.87,Completed,345.74,1984-04-08,2005-12-31,8728969589,937
504.17,Cancelled,31.52,1982-03-03,1991-07-30,7615122177,4479
962.08,Cancelled,902.7,1980-01-26,2001-04-03,9436656914,2804
522.11,Ongoing,352.38,1992-02-10,2022-06-06,0101979988,3967
886.63,Ongoing,834.78,1963-10-29,1966-10-08,0711138082,4615
899.85,Cancelled,898.3,1974-12-22,2020-06-02,1864452360,2799
17.51,Completed,12.61,1989-04-04,2000-01-03,9517701716,3102
198.66,Ongoing,119.22,1956-05-21,2003-11-19,2127885249,2605
749.46,Completed,609.59,1965-12-03,1992-06-14,8943036085,443
734.95,Cancelled,170.35,1994-07-20,2006-09-19,6722275631,3218
758.59,Cancelled,243.53,1987-04-17,1987-04-22,2274438457,2709
654.87,Cancelled,471.42,1965-10-06,1968-11-14,3018391406,1712
131.55,Ongoing,18.0,1952-08-30,1956-03-31,0259048246,1474
301.82,Ongoing,273.71,1963-02-26,2017-04-15,0231276358,863
164.09,Completed,92.29,1956-04-14,1981-08-08,2318179732,2513
218.35,Cancelled,212.75,1969-04-11,2008-01-12,1162028780,74
97.52,Cancelled,71.2,1994-12-23,2000-01-04,6373227303,1599
64.11,Cancelled,35.87,1976-01-17,2019-11-18,4432583616,2770
87.09,Cancelled,22.26,1981-03-05,1992-09-16,1668630742,3741
404.39,Cancelled,174.38,2019-06-02,2019-06-06,8272354023,2438
989.19,Ongoing,314.09,1956-09-24,1963-10-03,3472179843,925
644.03,Ongoing,329.36,1974-03-24,2017-07-15,5548318925,311
738.65,Cancelled,678.78,2004-09-07,2018-01-24,5054099108,3564
968.22,Cancelled,494.59,1981-08-20,2016-05-06,3609629717,547
864.73,Ongoing,59.34,1958-05-30,1978-08-13,2155649577,1901
591.76,Cancelled,585.83,2015-09-20,2020-05-30,9781640349,1180
920.01,Ongoing,195.04,1992-04-14,1998-09-09,3568444751,4525
912.13,Ongoing,379.63,1967-07-19,2015-07-30,0500706540,2779
369.31,Ongoing,346.26,1988-08-17,2019-04-22,4324043765,3500
34.71,Cancelled,22.48,1976-09-28,2013-06-21,2093101690,2625
625.44,Cancelled,17.34,1965-05-27,1993-02-17,4629735318,2997
647.92,Ongoing,524.17,1954-06-19,2014-11-03,4102291504,466
521.05,Ongoing,204.45,1959-05-16,2018-02-26,5826161825,1660
235.24,Completed,106.87,2011-06-07,2016-01-21,9967977235,2043
332.29,Cancelled,129.76,2010-11-28,2019-12-16,3566732615,1631
283.32,Ongoing,38.72,1951-06-13,1965-07-11,8627309085,3328
611.96,Cancelled,72.03,1956-04-15,1962-12-03,5166713734,442
416.48,Cancelled,50.55,1950-10-16,2005-09-27,4989159188,1428
579.59,Cancelled,350.47,1955-07-07,1960-02-12,4377434458,3841
714.41,Completed,244.54,1999-03-13,2001-08-05,9698880739,4800
185.96,Ongoing,24.45,1966-11-12,2012-09-17,8988171962,202
862.04,Cancelled,427.16,1976-06-06,1992-05-25,4065968191,1570
398.27,Ongoing,239.11,1956-10-30,2001-12-19,7121404077,78
565.07,Cancelled,432.21,1975-09-13,1981-06-18,5174124231,1409
784.47,Ongoing,135.98,1988-11-07,2020-10-28,0072669064,4747
105.99,Cancelled,62.12,2007-02-16,2015-06-25,3507529347,3152
671.19,Completed,204.01,1953-06-26,2019-08-01,6357079811,2169
208.96,Cancelled,25.94,1983-05-14,1998-09-13,8087428216,4253
954.29,Cancelled,502.81,1979-09-25,1995-12-01,0507913785,4567
863.94,Ongoing,56.95,1965-11-27,1998-12-08,7554537677,3129
945.28,Ongoing,208.93,1982-03-24,1995-11-09,1941123834,300
397.08,Cancelled,231.26,2013-04-23,2022-02-28,4154343804,1595
15.81,Cancelled,5.5,2018-12-17,2020-03-04,6722747413,348
940.94,Cancelled,189.19,2010-01-20,2017-11-29,3914639411,4945
710.59,Completed,401.05,1962-03-16,2023-02-04,9927085218,442
852.39,Ongoing,23.08,1974-10-29,2011-06-04,5743806586,655
264.0,Cancelled,10.99,2015-12-08,2016-01-02,9638959564,2870
427.58,Ongoing,191.01,1986-04-10,1987-06-14,9971102460,1364
207.29,Cancelled,73.0,1986-05-28,2015-09-03,1112092977,4444
828.96,Ongoing,738.7,2013-02-28,2020-04-11,9866419538,3871
484.97,Cancelled,181.27,2016-10-07,2018-02-19,1816374294,4801
