residence_id,host_id,arrival_time,departure_time,repair_fee_per_rent,base_price,max_capacity,number_of_rooms,area,residence_type,accepted,ownership_document,TITLE
17,2355548537,11:54:01,01:28:16,916.46,214.33,2,0,260.83,HOTEL,True,"('eeoa', 847415291657726709309001)",zgf
18,5436315684,07:45:47,03:50:25,951.71,589.57,8,3,836.0,APARTMENT,False,"('WXGZYejoz', 1102124763187654799738985)",lsAmPZIqKKae
19,8892807846,23:36:31,06:17:11,673.34,185.6,5,1,935.58,HOTEL,False,"('slbwSo', 958698927398582498446784)",mDMXqWsg
20,2082419654,09:46:33,13:14:15,181.94,776.37,3,0,674.43,HOTEL,True,"('zlzlcPKYzMWwEjO', 771375272998403964378054)",TeclFiNmewPNH
21,6961796051,10:33:02,14:59:04,886.76,693.67,2,1,846.96,HOTEL,True,"('YgQzjvUTqSgp', 842140245636117502564576)",XgxDcHmNygB
22,0763403741,14:40:04,23:55:09,735.9,852.14,4,3,973.5,APARTMENT,False,"('QkEGGPpUEisEqb', 773828400392742152088717)",PpmQDNcPwHxSYnb
23,8759932551,12:26:43,11:15:27,591.78,12.91,10,2,285.81,VILLA,False,"('EsBBHPVVPuRpQcu', 741665098967409930600897)",JEanryPYWRlPSka
24,9064879475,19:44:21,05:14:07,228.18,349.58,8,2,41.06,APARTMENT,True,"('hlEIPXXHBZJQG', 672648012344427812173094)",tdQcOGzfNRVe
25,8198083715,14:12:36,08:57:51,74.74,396.14,6,4,214.32,HOTEL,False,"('IUpNCPFk', 1030512919764152578661411)",BJaYQSmEAfg
26,3923986390,20:01:59,15:26:22,967.8,72.45,3,0,683.54,ECOTOURISM,True,"('OR', 341571302002189876895901)",rIhmj
27,3795918727,01:46:34,05:59:00,189.19,575.39,4,0,406.71,APARTMENT,False,"('EMXctPTPAbcKJmL', 90192513953993290516805)",ELBQKWowwj
28,2678748205,17:44:54,17:02:27,766.55,103.44,6,0,319.77,VILLA,True,"('UrzbxoEAZYbuVt', 15005220502471095416920)",UKUgMCfggOEz
29,2454628499,22:05:06,08:16:32,616.02,872.84,5,4,982.15,APARTMENT,True,"('s', 1073190117336704476747470)",ppbtiQmItkva
30,6899492661,22:29:27,23:40:09,547.52,476.64,6,0,146.24,VILLA,True,"('mTuVHIu', 419030730307101814401016)",JE
31,9324512228,02:46:04,11:13:33,305.78,206.65,6,0,288.9,HOTEL,False,"('Vem', 439644976437947442546846)",zCfLib
32,4676510404,19:12:02,15:47:13,698.19,726.26,4,2,243.41,ECOTOURISM,True,"('MFWg', 1162682029384453233922009)",kFCNRrWnpRRnU
33,4622494546,03:59:59,17:04:26,671.04,616.68,7,0,900.03,APARTMENT,True,"('vAcivByAYfhPv', 1116240592275448090007255)",cHfKIxds
34,6702130681,16:09:40,03:59:24,459.46,994.82,4,0,83.93,ECOTOURISM,False,"('E', 878522575193793148988822)",wORovdHze
35,0994926399,11:32:34,22:11:18,681.79,537.51,4,1,860.3,HOTEL,False,"('PmjJsUI', 268408645360564292759287)",LdBDGuZEX
36,1016629016,00:05:08,14:11:23,175.17,762.49,10,1,199.98,ECOTOURISM,False,"('gWjKisY', 502059638788270770253356)",oR
37,5357654226,06:09:25,03:33:23,376.07,315.62,10,2,77.24,HOTEL,True,"('nxdolLUqJGypS', 117008390087767650723255)",P
38,2294315881,05:39:52,07:26:44,64.97,265.89,7,0,932.65,HOTEL,False,"('qgAUQy', 813194362829723058422360)",h
39,5980143906,02:45:00,22:47:45,41.09,112.43,7,1,371.14,APARTMENT,False,"('ylfAjLCX', 307111748226090604085726)",mBZIzwErkmu
40,6358527845,21:21:22,23:54:13,271.18,414.54,10,1,259.2,HOTEL,True,"('UwaFGGPCQ', 874023368188984542770960)",zwar
41,0582367354,13:33:08,13:05:41,371.33,21.53,1,2,549.23,HOTEL,True,"('hUhoR', 1060998061193013172099021)",lnB
42,6261552939,19:24:46,18:10:30,76.2,369.99,8,4,332.48,HOTEL,True,"('O', 36989898750840416058211)",XqfTE
43,9177416480,12:53:18,17:56:01,47.28,165.15,6,2,264.18,ECOTOURISM,True,"('cCRYO', 1117683493573046207481220)",edx
44,1226078880,01:45:07,08:48:46,5.79,996.4,1,2,403.59,VILLA,True,"('rnM', 1148996359299833378985807)",nryLmD
45,4689837231,12:24:02,16:30:59,466.51,744.77,6,1,147.61,VILLA,True,"('giGPSIOpz', 243607945721797574680836)",hDcdO
46,9138315873,08:52:57,13:40:45,404.68,768.23,8,2,322.29,VILLA,False,"('cgLxkAesmT', 1042469447845030210034024)",ER
47,8926969836,03:38:07,04:06:36,729.76,486.33,2,0,586.81,ECOTOURISM,False,"('zghUROkwykQXaG', 204538777861305154335670)",GgqfXQBQRKQ
48,5121720147,02:05:57,08:49:45,71.65,607.86,3,0,287.59,HOTEL,False,"('UVscmiMn', 42670478480614869088748)",LrxroIrOOXSwhiP
49,7659698470,11:03:37,21:44:09,439.78,255.98,7,0,979.17,ECOTOURISM,False,"('DMNuYvLgeh', 396333220865158112801824)",qKqckULcdnxRZeJ
50,0744780111,14:11:01,18:33:38,320.24,323.1,3,3,426.16,ECOTOURISM,False,"('Rk', 1100805829780005786012567)",jiUhyrXEtETqi
51,8877830648,07:17:35,15:23:17,348.96,668.19,5,1,167.12,APARTMENT,False,"('esEPBaXhc', 613349182622279787970448)",qLhpQUSD
52,2368055491,06:30:08,21:10:38,199.47,716.83,7,4,718.35,VILLA,False,"('KHq', 194285676385242568316959)",YzPXRw
53,1844642778,22:53:06,07:08:58,505.19,105.87,8,4,225.97,VILLA,False,"('iOoDoh', 304009497915611213657924)",JNCMAK
54,8315711635,17:26:48,05:55:47,928.41,434.64,10,3,499.97,HOTEL,False,"('iaRydpTs', 972443448345959542619282)",ffdlLbohlatCcL
55,4832740179,06:00:34,06:33:18,169.46,541.66,1,3,535.2,HOTEL,True,"('fVhJNrnhGWgdMMW', 1073325954886594294580233)",KfmasL
56,2601230374,12:10:48,23:27:29,308.85,502.63,4,4,305.63,APARTMENT,False,"('qUwEYrW', 745720989226373538324021)",AU
57,9195889418,23:35:58,22:55:42,256.96,22.15,4,2,436.76,APARTMENT,True,"('fWOCjuhrIBHbkAM', 1002998536547096777458632)",FfDJCGoaygYGxWV
58,1474543680,07:27:10,11:46:03,993.07,889.58,4,0,213.37,APARTMENT,False,"('cUP', 833041080543786316060853)",ggEqrorf
59,1590033480,11:04:07,18:28:51,281.27,169.88,6,4,285.5,ECOTOURISM,False,"('iwcZr', 727604715268636006536381)",hhadyvuo
60,1236767131,20:40:32,14:25:43,961.15,247.2,9,3,953.11,HOTEL,True,"('wKdiJtjbr', 351515575909638840505693)",bM
61,5669142089,02:20:51,07:37:10,361.3,404.31,5,2,937.91,HOTEL,False,"('FWuopXgw', 433315192339412416141169)",WCvkEwPa
62,8451794779,03:01:53,13:09:30,882.81,865.36,3,3,343.65,VILLA,False,"('ocTGJgYVWUFG', 699798438044381294638508)",m
63,1318394826,13:15:31,19:49:43,13.22,146.0,8,2,463.61,APARTMENT,True,"('yIq', 292037301071346499245263)",CmLhdR
64,1061432456,07:19:07,03:58:29,379.71,730.68,9,0,339.36,APARTMENT,True,"('JY', 399426156564403819833272)",QnQbdNmV
65,3005739402,04:30:17,06:16:24,843.53,376.84,2,2,764.97,APARTMENT,False,"('zyldSaTR', 351885333191213493867474)",PEhoWDyJgT
66,0761064513,02:01:22,03:11:43,408.52,670.81,2,0,120.35,ECOTOURISM,True,"('KGIvnvEYJDs', 1053802744044151813036033)",lTeAD
67,8931524574,09:04:25,04:09:51,498.56,306.54,4,4,866.78,ECOTOURISM,True,"('Tx', 76019704486785311268846)",kpBqrFM
68,3780559148,15:31:57,07:27:39,850.42,780.7,1,4,718.38,APARTMENT,True,"('swvNKe', 1045568905181855313266435)",pNoGm
69,3056131644,07:02:41,18:26:18,348.59,186.9,5,0,719.18,APARTMENT,True,"('pxeTQtvPxHyr', 248746320124773873463102)",aefxx
70,6826429901,15:10:43,07:53:27,775.67,542.49,6,4,649.17,ECOTOURISM,True,"('zQ', 198169828068693436909539)",mCcBNhIrcepn
71,5291980632,00:00:29,06:37:00,482.5,831.13,6,4,300.83,APARTMENT,True,"('J', 661419609599961055387796)",WwnrkJYsSN
72,9814955330,07:31:19,17:15:22,894.77,107.17,2,4,422.21,HOTEL,True,"('KboJV', 922205833115165456144502)",TuGuiyLLwsltBC
73,8904811843,11:18:55,14:38:25,612.93,173.24,7,3,191.69,VILLA,False,"('YXxAfpl', 317380977078577855632841)",NJmwrbgca
74,9012054122,14:29:38,17:01:49,366.8,931.94,10,4,899.24,VILLA,True,"('tkt', 476289194900282975501693)",U
75,0154859696,18:20:38,23:14:21,434.24,301.16,9,2,930.83,ECOTOURISM,True,"('eiuMvexTk', 145609394078125286474810)",PY
76,8855394299,08:26:00,20:46:29,299.14,226.81,7,2,187.18,HOTEL,False,"('RbD', 433349704254254097069255)",XJFZe
77,1691725914,03:20:35,20:19:43,662.52,158.2,3,2,107.21,APARTMENT,True,"('etyLGaFCG', 753921851385387896888544)",OFjJiRObYrGq
78,4892418533,21:24:27,21:37:33,527.72,959.32,6,4,682.84,HOTEL,False,"('EqC', 581760161602084450015298)",OkjNYaCLpS
79,8248724590,05:15:13,16:26:27,447.63,370.62,9,0,468.33,APARTMENT,False,"('AIRmyJaJelH', 610121359774215827466451)",LkaBXlKVvMmz
80,8415558594,01:30:11,04:26:40,333.49,543.14,8,1,893.44,APARTMENT,True,"('PmkFt', 1154805857108631456869744)",XdFnbWX
81,7756144446,10:16:29,12:44:33,913.67,957.47,10,3,672.04,HOTEL,False,"('ahxYvrDYa', 559528882943920446818263)",JSRncOlNiY
82,0490287517,17:38:25,12:36:12,689.41,86.1,10,4,321.57,VILLA,False,"('buoQVgGixgetHe', 1045649638869308620826235)",eGpORILQ
83,4260426223,16:00:07,12:10:17,727.61,291.49,10,2,342.4,VILLA,False,"('VoszBjshrUF', 68530386125595901097922)",UasaxdGtWcIqjZR
84,1182546548,00:05:03,03:40:36,197.44,563.65,10,2,549.84,APARTMENT,True,"('aKv', 450721450853484562240868)",uKqHq
85,8642423966,20:18:13,19:37:09,581.03,253.25,1,2,327.3,HOTEL,False,"('aYwbHXAGIjduDpp', 1009396381808733315880075)",DNiYsfaK
86,3520454919,15:07:30,04:15:30,357.89,331.64,7,2,641.24,HOTEL,False,"('nqXJKjZ', 226237976285970317064513)",OaKZGSeBMPdcLGD
87,7816554022,23:02:52,11:52:22,88.91,494.07,4,1,256.87,VILLA,True,"('WuadkagTldgLbuu', 259319050389759130951037)",kdwBdUeZFiprvUW
88,4820383177,01:28:43,23:38:03,880.93,772.2,1,4,856.09,HOTEL,False,"('To', 838338778868568310230719)",LNFYeKsjtWkyr
89,7604489543,16:04:01,21:57:56,692.05,687.16,2,4,819.85,APARTMENT,True,"('eeKEoePxXtDMlyP', 1047543935906104899981199)",HrVi
90,2445316006,11:33:55,09:17:51,667.9,949.3,3,3,673.82,ECOTOURISM,False,"('qv', 20079188562745386617411)",v
91,6763633709,08:36:01,16:17:19,538.51,673.02,4,4,77.32,ECOTOURISM,True,"('vwjapLVdtKar', 1080858221032803620644034)",ZCXNwr
92,7023583878,15:35:20,18:04:31,863.02,74.93,4,1,392.89,APARTMENT,True,"('PjTBeLbuJVtvY', 583283492514153846622014)",wDRKoblooXf
93,9402334289,22:53:42,11:37:36,358.12,235.48,9,2,567.4,HOTEL,False,"('ZkjWjdIGBAlNPD', 829540479911355165742165)",BAYGrl
94,0064331459,00:44:22,01:22:54,212.34,912.56,7,2,136.14,HOTEL,True,"('zAZLiWV', 1121031902349103751990947)",LMVJpCqZv
95,2666570629,21:17:24,10:56:09,863.68,451.85,10,1,365.99,APARTMENT,True,"('NZpEIispXSCCWM', 127913958098514436258975)",X
96,6937230391,20:35:02,20:00:19,543.7,915.58,10,4,262.16,HOTEL,False,"('xBeyhxd', 328188487735999668753447)",cEC
97,8399362412,11:39:43,01:45:54,729.4,374.85,7,2,437.94,HOTEL,False,"('mUwMFxgV', 79628766002779963038694)",LkRtMrYk
98,2650595828,09:39:37,01:50:14,303.95,147.47,8,3,405.6,APARTMENT,True,"('EmGqlR', 691614259550335784409821)",ldKaiPezqbp
99,1344654844,20:27:52,07:13:46,76.86,119.96,8,0,976.5,APARTMENT,True,"('MYEIIuXFwGb', 732549894264759264622873)",sEvrVpHraXk
100,2075193596,01:32:37,09:10:12,713.24,160.06,2,3,971.18,VILLA,True,"('RTv', 247134141717867948064574)",kOSx
101,3158967655,13:13:50,05:32:46,809.12,676.03,10,2,767.7,APARTMENT,False,"('ztqemoMhWK', 344798657093081504352008)",DXKpNPJpEoXLH
102,3328754798,15:04:34,02:38:25,364.21,231.69,3,2,303.94,VILLA,True,"('eEnFq', 1076746943004938596539259)",MTshKubItf
103,0781510534,03:50:48,02:11:41,70.46,797.86,5,0,960.56,HOTEL,True,"('uPJVIpzgyAblr', 82397968209429454405220)",VKmhqs
104,3697076493,22:24:50,14:31:42,12.74,452.43,9,0,800.27,APARTMENT,True,"('butOp', 961620529735542190178768)",vYUOBQQsbQJ
105,4251999045,08:49:31,11:57:25,435.43,534.71,3,2,840.36,ECOTOURISM,True,"('DsiqrJtu', 313436726346502871196194)",kthgeaqSTuuq
106,5456320865,04:32:10,12:01:31,304.86,295.22,4,0,877.0,APARTMENT,True,"('pmNdeGi', 45706127324093596754061)",nlv
107,5620249675,11:34:48,04:52:07,645.45,297.43,7,0,882.43,ECOTOURISM,True,"('KvQYlmCHZP', 81617949343327708624133)",nwl
108,9009181870,21:17:37,11:48:40,4.37,667.7,10,1,961.39,HOTEL,True,"('gVGFmkNQ', 1059031908750881006677394)",lkdeNFpisN
109,4232735350,16:03:08,05:32:12,371.81,932.5,8,2,218.37,ECOTOURISM,True,"('GhFEid', 206824039283118564336869)",KLuk
110,0215444674,00:33:57,09:17:42,526.96,637.52,1,2,217.5,APARTMENT,False,"('aFWN', 261306505036099631386208)",yIktay
111,1625480784,11:16:37,17:17:17,286.65,711.73,7,1,181.21,VILLA,True,"('c', 912229980349179234013096)",aruNtZyWVve
112,3009476471,00:19:44,06:01:25,788.85,230.8,5,0,977.69,ECOTOURISM,True,"('QItIDqF', 812828631194764001569425)",usPt
113,9218384351,05:19:39,13:25:23,378.54,773.13,9,3,620.15,ECOTOURISM,False,"('oFM', 55840822383214439146458)",TTODnwIgNIh
114,8753844361,21:36:58,12:24:42,550.58,978.74,1,1,991.48,ECOTOURISM,True,"('IPb', 984173243815043781719734)",uZNBQybSjMg
115,9600632190,13:50:13,22:56:28,792.63,747.42,1,3,81.09,ECOTOURISM,False,"('siRh', 22979426198506085159463)",zKpFtPKSLtYWotH
116,5602224118,06:32:06,09:32:27,741.08,354.33,9,2,380.58,APARTMENT,True,"('xJfXCAs', 311012702162859245970719)",mufwJbz
117,2639578000,22:15:29,03:42:14,748.25,944.09,8,1,305.02,ECOTOURISM,True,"('ElIRuDDNzx', 118367155608310732471230)",YYru
118,9819168879,01:34:06,00:54:08,183.35,918.39,2,0,704.25,HOTEL,True,"('sAUp', 51462814261688215778323)",zSUDUUHxMn
119,4228217032,18:33:38,00:34:52,77.96,555.31,3,4,491.54,VILLA,False,"('bHdBNrNIJcUvY', 993508285206558164620277)",bhrDBrmBehAFWQI
120,9855793967,01:12:12,12:23:57,425.47,920.25,8,3,939.6,HOTEL,False,"('GFpC', 784521177993963876588698)",cOZY
121,6283931950,15:00:25,01:37:37,900.25,923.62,3,1,497.8,VILLA,True,"('lxnMfDEidpEgY', 2066315480785758814907)",jzUllh
122,7551843825,21:56:13,02:16:52,149.09,671.19,9,4,276.35,HOTEL,False,"('uTWFySjmdjgu', 1101796685056903868107911)",tqvcIEVbhqyA
123,6384930447,14:25:28,01:21:47,791.09,3.24,8,2,748.39,ECOTOURISM,False,"('BJvtj', 897859173210036138424359)",GRsmqV
124,9795491454,19:43:18,16:22:47,338.32,230.27,4,1,310.88,APARTMENT,False,"('V', 711081200128446113454757)",UunZfQfDra
125,2394244168,13:01:36,21:22:09,872.08,97.78,7,3,516.23,VILLA,True,"('EIUnoTCQ', 820918782999022828801594)",mxxAgpxTJdHUL
126,2909918479,11:35:57,08:25:24,462.59,161.16,5,2,215.61,APARTMENT,False,"('FmQ', 966934432152652921190901)",PkcqYNsWlUrJK
127,1103988712,17:01:37,08:28:35,953.62,981.08,6,2,248.05,ECOTOURISM,False,"('feaHHMMbAbXMwax', 143958178790804658159577)",mebl
128,5064550928,15:03:48,09:54:03,41.29,577.8,9,1,346.47,VILLA,True,"('ar', 743049039817069015199798)",SVaIbnrVBxR
129,7653967863,12:24:05,19:04:18,767.37,616.2,7,0,608.12,VILLA,False,"('BPKcnDXSHBEmfAB', 983582292233781124059265)",kYNprzWmMOKYLKE
130,4734553180,00:02:03,08:39:08,648.43,701.03,8,3,997.2,HOTEL,True,"('DlYjUmNeqIptYa', 547968856282205911390413)",eroj
131,5988597156,03:53:12,16:34:07,349.08,815.43,6,4,225.73,APARTMENT,False,"('iwqnKTNPMwc', 671358353415383038222640)",rOWEavSrHNw
132,0593651248,11:01:12,19:13:48,410.54,420.23,5,4,923.95,VILLA,False,"('aBVqPF', 195899265094732861995750)",OZHK
133,4932564381,12:12:56,07:11:14,744.68,680.25,10,2,435.16,VILLA,False,"('oftKLLfvif', 776374386574546808413041)",mfmqJRosjzBZWvB
134,1999334884,21:07:31,03:09:09,567.52,708.16,6,0,449.02,VILLA,False,"('OXNQYeV', 76898105434909787529181)",wZHiJS
135,6891708539,03:57:25,01:27:30,372.95,369.03,1,4,91.08,APARTMENT,True,"('HqLqWlCKXU', 705867080287677559817517)",jsZimWZGPk
136,1931943723,10:59:34,14:51:42,515.58,60.31,7,2,766.15,APARTMENT,True,"('yqMYJ', 4579073475651036352162)",nedsmGAMCfSvjN
137,9696171358,00:52:14,20:59:07,986.44,511.96,10,3,435.36,APARTMENT,True,"('rRhhfX', 380062919938949838145982)",yEsJerCQFVMQwv
138,1095758316,20:20:49,23:59:39,835.89,326.32,4,4,515.25,VILLA,True,"('SZeaNA', 608675928677320078430348)",yOjvbTsEYU
139,0055249488,21:16:33,11:37:06,893.39,287.34,8,2,534.23,APARTMENT,True,"('bWJMYFUVdlNV', 570775649621393029801466)",VGswvW
140,9179418499,09:00:28,03:54:22,413.35,404.48,6,0,573.07,APARTMENT,False,"('WHrwQFtmVgz', 169028296270461062100045)",ltzzFeSzNvx
141,4258208040,17:59:12,19:35:00,600.3,990.71,9,0,784.81,ECOTOURISM,False,"('LeqbGNdpquXpy', 308089698265055208320964)",RhTSUezGYBF
142,7127684937,21:35:57,16:10:54,145.92,896.2,2,2,874.28,APARTMENT,False,"('PZvVcV', 830173481395816849788982)",tskUyK
143,2814645209,11:25:47,13:21:02,991.66,569.74,7,3,698.14,ECOTOURISM,False,"('ABHmvpNoRCqaYrx', 1010141702448143665125827)",gyfQL
144,0744122513,01:26:46,23:54:51,224.11,292.87,7,4,358.37,VILLA,True,"('drqGdRx', 426206537041850625928124)",hXRuswsnRA
145,6795270120,01:30:11,02:57:24,932.0,496.25,1,0,313.5,ECOTOURISM,True,"('zpbIx', 1162069643937311383268737)",ZdSNi
146,7209218711,21:10:02,23:31:14,515.33,56.53,5,1,596.94,VILLA,True,"('A', 427785372932730815651675)",hSVcVVI
147,5750848141,20:15:23,02:38:21,897.23,543.52,2,0,434.4,APARTMENT,True,"('gGhi', 221034068692043421914967)",rGcIHAotBoeEB
148,4058428511,07:38:20,02:19:53,728.4,541.49,5,3,850.93,APARTMENT,False,"('QcZCslgUnoj', 285860784897660595922824)",QDPGij
149,4019156071,23:11:08,17:26:53,158.28,478.75,7,1,959.23,ECOTOURISM,True,"('ou', 509447740410634250807647)",aKtuhf
150,4664246457,08:30:21,04:05:18,706.67,504.7,9,0,371.6,VILLA,False,"('imKg', 281417274818124056827035)",QyfkiZwu
151,8564903651,06:57:53,06:53:33,821.11,556.04,4,1,173.9,VILLA,False,"('S', 869442141639613465331259)",bss
152,8451794779,02:25:52,15:55:28,695.36,756.11,2,0,860.37,ECOTOURISM,True,"('ch', 1181340957074952286815480)",owgMHKoTwtZdN
153,9842535257,01:59:57,19:02:34,975.69,874.42,2,1,840.61,HOTEL,True,"('jmOsQTVMr', 164568732944771950910103)",eZeCdp
154,2697900151,21:13:02,11:04:50,120.88,44.96,10,1,621.61,HOTEL,False,"('pQTgW', 1122168325097430467436364)",t
155,1691659097,02:35:10,08:02:45,132.66,319.7,6,3,796.67,APARTMENT,False,"('ilnJuCctpW', 978102768356905006092892)",WyhOoEgGuvlbXRV
156,6362856586,07:17:46,07:18:03,920.77,133.54,9,3,281.6,ECOTOURISM,True,"('A', 597508966099214131688545)",jaWYNCzmiCB
157,1831719274,23:17:46,05:50:21,525.31,359.26,3,2,689.41,VILLA,True,"('uqrCLHoA', 314295121011674542050245)",iInlVRjZrgbabHo
158,0346816422,21:09:56,02:27:54,536.58,199.93,5,0,464.13,HOTEL,True,"('vBRfywTkUd', 789375128988992210609631)",dwUUNWdwjk
159,7460715651,10:03:00,11:54:14,39.35,106.75,6,4,926.77,VILLA,False,"('ZIjeAEJKaA', 935559011135647493516425)",TCTxzaXauE
160,8425651065,13:28:15,03:47:22,837.19,541.32,1,3,22.8,HOTEL,True,"('wmxpwf', 637762149229271199677767)",vv
161,8512321648,18:25:03,02:45:13,483.19,158.67,5,4,960.7,HOTEL,True,"('bjwgbpr', 1115715707523863493729009)",weZlvMByHjErkKp
162,4785990006,12:01:19,01:12:49,105.4,562.22,4,4,225.15,HOTEL,True,"('AW', 440802507852536924579008)",DltbTvxeLHVvUqU
163,8474512411,03:44:10,10:27:58,286.92,182.39,6,2,765.42,ECOTOURISM,True,"('hloWwhAtPy', 942389111643846123451820)",qlcjub
164,8186522638,12:00:12,01:25:30,153.07,450.71,5,2,237.22,HOTEL,False,"('nkNLaouGpkek', 389594905336768385979895)",fDFLHDsUdYJnh
165,9713325044,03:55:44,01:56:40,454.8,932.11,3,3,564.85,VILLA,False,"('cAVQcQGx', 886524421302348951164448)",f
166,6741776141,16:05:28,03:59:38,254.18,726.74,10,1,621.8,ECOTOURISM,True,"('taSzvi', 476178235359368483744751)",yVXMAiinbrLg
167,5057753836,12:43:56,15:03:07,414.97,182.45,9,2,513.76,ECOTOURISM,True,"('tiLIsHomiCFnPus', 783068682332600557039895)",xLBEkEZg
168,4207733211,06:53:25,02:05:49,887.67,70.26,2,0,680.24,ECOTOURISM,True,"('bSBHrGPTkMaW', 818083892101971718113617)",vC
169,6232507483,23:04:08,08:39:02,343.4,956.87,1,1,981.95,ECOTOURISM,False,"('JJzJWNtV', 921967164512241506554950)",OAFkyHNrlENBo
170,6570841643,06:20:22,12:01:30,564.13,868.5,7,0,220.22,ECOTOURISM,True,"('nblhVPb', 66564450817000496861126)",LRoyow
171,3252234343,02:51:06,13:45:35,369.8,593.92,6,1,590.73,HOTEL,True,"('buLyaYbO', 114332225775872744035973)",LtuINDoBk
172,3012728381,01:49:40,04:15:30,619.67,972.29,3,3,504.31,HOTEL,False,"('oivLkSBIKlc', 525658521264765183512825)",U
173,1339236254,05:20:25,12:08:29,684.41,609.57,3,1,804.94,ECOTOURISM,False,"('rD', 46173294609840854661934)",L
174,8705242815,22:25:53,20:23:28,868.85,145.29,2,3,70.77,HOTEL,True,"('qVtSNz', 88050715907239270624657)",OIbxnTpGtsQ
175,8568587266,11:54:14,16:42:04,483.72,85.02,6,2,303.47,ECOTOURISM,True,"('kZr', 1120811964210080341350973)",Obwvtx
176,9606803562,20:48:46,07:44:09,461.62,599.47,4,4,13.01,HOTEL,False,"('LZ', 278172146794283566179319)",arImFFPgAuJgHOt
177,6041895045,09:40:36,15:13:35,543.38,292.22,9,0,278.51,HOTEL,True,"('NXNmCk', 723150357970087240687557)",ZTIEhbzKkl
178,6104666605,06:15:24,02:26:30,126.67,955.51,5,2,935.14,ECOTOURISM,True,"('YnBErJVUhsj', 126334450419629810052184)",coTuMZ
179,0154914692,12:53:57,17:57:43,715.75,971.66,5,4,255.41,ECOTOURISM,False,"('kICJoGcZTcPW', 72232918084830442024919)",Lbrw
180,9299218541,08:26:58,12:25:47,356.44,661.57,3,4,532.8,HOTEL,False,"('xKlBVSiT', 463165329919751968792607)",UqViPQvs
181,9106369625,02:29:29,10:54:05,956.39,683.63,4,4,982.48,VILLA,True,"('DmCFtcGLJ', 441543063546289932088574)",wJiG
182,2333755644,19:59:39,15:33:24,437.42,241.49,10,0,392.67,ECOTOURISM,True,"('ZkBlZw', 442719125949195307125780)",YzEtuJkqdA
183,4979040791,11:05:43,01:04:03,673.71,742.59,1,3,712.28,HOTEL,True,"('HUw', 1069141259371331506781967)",bxIyVbvnAJPFsX
184,3356365874,19:14:17,13:41:47,78.92,402.18,1,1,318.56,APARTMENT,True,"('ZMqryPcoddxDbr', 553029568807129733042896)",FDnxbmYRD
185,9516579103,15:38:38,14:57:05,231.3,468.57,3,0,838.26,HOTEL,True,"('CpNMJdGql', 142327385856620149016630)",PplnJYF
186,5026502341,01:38:57,04:50:05,435.09,58.03,3,3,373.75,VILLA,False,"('IuFGUVfgnbq', 737981916608933217799852)",EuPkUGUeGsJqEoK
