TYPE,penalty,COMMENT,residence_id
IuXsWD,747.49,EW,552
Oq,11.91,d,3205
UoSB,157.63,ic,4015
bVuhMGTzQvxR,531.71,ljPMJfhBDRNUJ,2575
skYvQwLERH,108.07,yotUkxrbOkZsJp,1449
mlnXByoWWzHI,801.04,LOurvfqQsvuTeSV,3523
zZTTG,922.89,ABVnmxQJHItDmx,4195
ZmWq,805.28,iZJ,3268
pLbkn,354.3,jHREHdjNUKzlV,2567
GgQOhXrVp,991.18,ZRjIBu,1516
t,935.47,pUoHiSTumFH,4670
zjwXG,863.89,XoyaoQdXA,2862
UPqSJlNRxv,707.39,KISZhBJwsjzNYJK,175
y,289.29,XKRpTgyYAiIY,1651
IxntCfDqEUCVWG,309.88,zQfLbYsNy,1053
GQwxNhziUQcNnol,442.85,SotZaDiFDy,849
vACwmbHgXPQNrt,887.34,SClfeWAJslNUDT,1535
elDOeqLds,259.65,kcdQpjieIb,4477
MjYFexjyh,199.28,XogutduhPJrQCv,2786
kvColwgiaoeT,718.11,Bbrrdqmq,1117
CRCz,983.56,maZ,3699
CPAbYfRItBHLwdK,444.86,AZlrCJekeKjQ,3528
SLcbkuSxJwhsZ,123.78,jmBIaYzYZBZkx,4816
BDwwXspBJZeVeB,653.76,nOFWcSIMBYjvj,3302
piuSbErlx,442.9,i,1991
svHTNK,113.43,pM,161
yBopJDDtmbEjQ,506.51,xZzMRJyrAfYYDj,165
rAdJboko,995.01,m,1621
CVGuThp,218.66,RJNlxdp,4482
TggAxznDT,53.16,qymcsxMzFzWxtef,4052
yjcUgTumXbF,293.46,AU,4036
ZDMQKKAwacU,227.67,zXSTvtOS,434
hHJoQzmevDWR,502.75,tGGmXZcD,2110
X,155.87,cb,3229
cdouiCpyCwsFv,4.94,rSqRrZJpcRbsHCd,4154
RktvZF,942.61,gdEP,940
RyAAPi,854.22,bw,793
b,186.8,DkKXLWoqvmtbDII,499
AVbn,233.77,lVq,703
nXoBmYj,969.82,USNYSBrTBUz,4447
LDtfKD,68.21,TLBiZq,1628
zSAdD,384.62,UvXQCWEPp,888
ITSkYp,55.65,pThOIbrtCnL,1436
lbjm,809.89,JtLGzZASvqIHC,2317
JnOjSVaQ,207.17,EqG,3092
dMAP,707.71,niKsuSy,2848
iWOUAicsxHrM,36.88,yFMZryCZK,2292
eULenLHaS,675.11,Ol,4953
fg,747.88,TwyXhjlXUJ,756
inLvroWmJ,863.74,onYkgiSD,3476
DPkV,646.57,uiMmwCok,646
krNGcLsNjbey,548.36,fm,395
Bvof,127.25,ZxNJTYAON,998
sotXL,696.43,droRNKtn,3601
ve,899.44,tFwEA,1332
OntvQTAbgAwP,394.86,Armh,3473
UMAxJzm,64.8,eVWSHoGVNtl,1456
JFeMHKdAhzuW,38.65,SnLYVgueI,2002
M,219.41,fETOhMMr,296
PCjHwfmdThkK,225.16,NctnQtsFYpXK,4083
dd,53.14,pwjx,3867
mvhBCGRtngfnDjE,714.38,kYDhyOO,1296
kQAAfSuGUVGjE,30.15,hOAfWWvJnBlqYW,914
kLRqYOlRsJUssMh,341.17,tcVhZEaYwTvwmXq,3746
kJ,222.13,ILzpNyK,3995
BMtrqQK,235.39,gTQbldckO,1037
SJlpolzbN,837.77,ymRxQuxZXQt,4944
FK,680.39,YpehjRdOyznO,549
AjRngEDdue,168.13,ppTK,4026
EBDHm,651.94,UA,1007
Cfm,72.74,myYBnnpYiG,4230
phYbPQS,31.68,pCjtteJnWZ,200
eezlXjGAeGy,855.01,HrOggTzherB,335
JdjUuhCZomAnsy,258.34,jiNXMgys,1170
amTHRrmtpFX,965.68,TjB,857
wxLnt,780.46,mazqisxFMiwb,1339
Sz,585.3,rReZKPp,4832
wKgKweeJ,241.86,cUJTXrUEKBPM,3406
ULFeCuQP,144.02,ho,2354
ixtndVDid,374.44,VwLggNM,1183
oXgjTUVHohoJRn,74.32,XKPtiYnCnf,3010
NOEweAqL,468.23,cgKWJXuxq,2341
dIzudLTk,663.95,oELwl,4424
vVYe,389.84,sZKruVJgll,3341
KBAe,514.8,MhKyDYtaeaR,1216
ywxx,617.05,oTMgb,25
PwW,436.93,vZkNca,4172
UGUjvxm,867.67,PtaGfcySfch,64
TSj,938.9,NYXNpF,1358
RsQZYm,138.48,xzbIqjXADk,4147
KOYfpsJJPh,81.84,ENrbGXp,3183
EVwZZMDeVvABlNq,489.53,fUJpthFT,1135
pDBlBEiQbS,641.05,TSVto,1781
AgIbAfGoNkfVnv,400.31,FCtwHGS,2826
CUxmPRSPoenrgn,342.68,IPmZoERdfQ,2461
qpJ,717.27,jgU,4136
x,596.86,G,3119
ozmmOXBkrK,57.32,lHnuhiEEEHr,4804
EfFBJUyKE,130.15,mn,3443
iooXtQyuA,201.41,BD,2476
YMTwwYjRJ,289.92,PVKBvSU,4808
EryB,198.4,ukyhdyqKFX,233
lb,437.02,SUYqVqzT,4597
gSGyaOgrk,337.24,c,1954
mtbciOnzUd,930.15,pX,1491
jZmzyBirVxLwN,772.81,OReUMsAsL,1142
wurcSslOjSHYGz,957.71,hrvYWXMFazYdOh,2291
xQRyHrIVr,125.71,ySzqreYzTZfcsk,442
oIffnrRwQPsCR,957.55,QGzPraKcPuSTyPY,831
WVQCeNIm,153.02,iOaUTBJHKkWR,1754
XrlSfMiAAIDkEQD,82.1,YH,4085
CFlpokIGgATb,549.89,uVElGYVhntyXJk,1875
dbIdIfkrrfPM,456.65,KMxsNNSxgcbA,117
tFZ,982.57,psl,4519
OOxTHN,967.26,ZymHtI,4321
hWnubaRgYoEfa,4.66,NXN,3886
jOZJGRcWKm,344.54,uxgRRnD,724
rPkmLHICYYQhP,784.87,QbCOwdjVEnxa,3728
VhV,133.24,CrGPoH,4251
IZnciiYnBUowVUo,640.72,RjELIMDEOMKeEL,4763
HVuhLyOty,380.84,igRLHAqQZHJpn,4516
EJetQkwAWh,487.51,JRVruzBmom,256
XZgSUbv,248.7,zCnaQ,2099
y,132.49,BWaGzzLOcJOCvix,1771
TDOscZEFGZ,20.24,OmzHwiP,3428
WAaMRM,501.19,JZehFCjjgSyE,2638
BWTlveVpWQxwVS,773.61,kuDezu,2534
mG,52.54,WcQNMkPUrIqBtwX,1252
megyOrDTUavax,454.05,rPhh,2618
clWHOPNhGPQiMq,471.24,vCb,2565
QKJwFSeBLpH,984.68,LABThRq,2571
POVSTSYsusl,291.77,hlbdSZcUQKVJ,779
zaSNbNTsuh,457.68,KcYuJmDp,2418
yQZWuY,577.65,GuBRmwJCb,84
ljlnBbTmS,59.18,Dxc,4838
aN,37.32,lIHwI,954
EWjvOIibBHrvtJq,346.15,egrYeepaVs,2151
wiDeMuY,573.48,HsOYgpk,160
vMGmpOoOW,166.8,u,4887
lDwtNwbARdjoX,817.14,VhrxehR,514
KnYkjXY,592.7,uTPYYT,920
MYaBgqctm,521.12,wOQFZwAf,2601
btZX,232.05,gvaUaXYmq,302
qaqjFUEkbWKax,673.79,Odc,3488
vfEbc,629.71,jb,797
bKYVzVuioTkWuVz,469.96,LhqyVlrhJV,3202
zLwTMpySbwVio,861.86,whi,4509
ANjbONlFFkonqhU,997.33,Xbmtq,2599
XhTZKWQuGC,219.74,Kd,1706
lts,463.56,a,4977
re,718.39,doiWulmVXevyTH,4186
DWAqtbSk,231.78,UzV,3304
TTruVpFxATFoSGS,693.91,wKVTzbwJEax,1981
icBMQR,794.24,O,1481
gjEw,875.49,SUQjmYcbIdbC,1158
YZKQnUQbETDI,50.85,pBJVn,270
YnTLlZmUWCNw,694.54,PonxqtQJX,3530
DtMFbtj,425.92,fSiZuhjefnrA,1994
YJYSkJNeG,238.35,MGzLXtcM,874
WH,994.75,DVVHiK,4369
qXvw,834.09,eUS,1086
Sedu,985.87,qMmuv,3815
BUmyowE,394.7,JAsddbnOCfaecZ,4764
XGFmcuQdUgr,72.13,LrnzPqDfBlib,1435
QRBcavHPyCZ,437.03,UmInWwiNPXeje,1262
kPW,811.41,OAGGHvYu,2508
bKwOuzDOAD,398.47,IHwgwmOqpHNI,2897
PRXfKtoE,498.36,WkAOxCxalQ,2264
uvrJayjnHtd,984.63,myPgUIgkDrYdCWf,3301
aPCfZf,478.95,XTgxDO,4293
pLntFOYi,321.04,vQ,2619
GEblWeOOFNcUnZ,750.93,Wg,4710
HbLbDL,936.34,WkUokQl,2003
Fj,437.49,sqbsJ,4534
twc,510.69,tnXYbYFMWmIOnOE,556
pfcVb,323.61,RnmngPNlCGHg,2347
xfOFukUPnryrABY,964.53,iOs,4570
jPtir,739.06,EbLXpVJIKtaQSJ,114
vmWlhDdV,163.21,oEHssZXKD,4446
feXcZBTcVLdb,271.43,EFMWXJghC,2200
kSUMCeDGaslxE,485.25,mMqmtNyTb,248
W,534.61,SUPkQtuJuWUKWaB,2657
xEIiNic,122.69,tna,546
ZDbZDh,466.62,rGDHs,4661
XSLcWwOGUZkJv,719.81,UbYFGmnIggmfaoG,1231
ewvdeVEsckQL,830.38,F,4748
NuaxnNAgKI,9.19,kIdMR,429
dMfRQy,832.88,sTi,1357
wkD,18.47,nz,3232
qrqNbl,725.04,ATHdq,2449
GcOaiMyOvjuD,546.28,RAv,1407
fVQTeKlhjcAg,365.51,l,1081
MXQyH,29.04,Y,496
JQzKglgglPTQQ,248.54,nkwToU,4854
oqKAAG,466.79,dSAOStgPuQrm,633
LoXFVkCjeTsApo,614.22,yhRwH,3372
OrwKCBVYjLbdzb,813.34,nfh,3292
UTG,354.87,mc,1404
eSkASYFUNXS,444.45,Ovhv,3245
A,323.32,abJMlHUlb,3794
ahUNzOBZxgNlN,936.78,JusxCAhRWENx,283
ZAYiPHLQjNnDTNv,580.23,Bsilm,4334
FO,546.69,dAQCKABQ,3588
JsRDWNPbTv,89.55,BdKjCQgqSsRNQDU,2704
sgsbVcyIVL,673.24,MIdcm,2614
rCNuPpIJFtjf,276.7,VLBrWIa,3563
IrvikpSmBL,204.64,gJO,4550
rHCPYyJ,249.72,hVkGdCM,1083
fwUInaA,139.12,mBmQ,2545
qjnnfpzNouthK,572.95,UFxsFttrK,4382
KPsISaUGRcag,94.06,M,2248
JUcCy,775.56,aFrFaqjyezLZq,3698
joVyzmfFsO,169.3,zZFHyHhH,1430
WWZcjXRntKAOpz,871.33,NRQcIssQvtn,2925
WVTQYzDNmd,41.55,LfAz,4787
gtYOYOKJNhCRQ,287.64,gLNj,1975
iFksXh,901.31,OFqTQAwDoyfnZFr,4807
hHDjJnDQ,471.44,hdNxXtmUEIt,2494
HQjt,141.53,bEujdd,4023
tbDWka,85.58,IuhKnDBEJK,4620
Xxc,688.0,OpUwLyjOrHkW,1034
QdKQFvdDDd,733.32,ArnodZF,1896
VnnilsDFmdXZMRh,647.61,qUrDeKS,1439
tvZscS,556.12,btRpZJfjpM,2793
uZueTkKAES,285.3,eGqnmS,794
NJNiuyUWznNC,983.66,PBcjvWIvPre,3621
zUWc,252.92,IHiH,3043
qvxtJBu,694.53,DOvgoFR,2762
qWmAcJHtissq,728.34,hFmGh,4943
dyNAqlHHayYlr,9.99,UOGGXWudNrPBbM,912
FqN,611.85,SsjDthfRicOxDFp,615
nPMXTSAqYvop,122.01,DOAdy,3570
iIRn,727.85,JrHAGUSK,2154
BWSNasG,72.23,KnIZZVK,3825
asxt,107.26,IqnwFVgcyRvuaA,3552
ZKVLocdkdN,163.5,APBVV,2799
JXOYbBHKG,269.53,mUnvxAuFXII,3095
YLDdiPpFEmVaD,741.1,Lfk,4520
ZgC,138.42,ARaeyDL,321
QBvpFBs,982.65,rOBP,4488
UZAjoiAj,711.57,sknnysMqmHBchpu,558
WAr,176.64,oESSgEYcERgKSY,3256
RPsslzEfbU,357.62,SVR,177
LtPQ,107.23,oErakGUf,2462
nUjZbgQUvh,25.21,CyimXKoqFYMPofK,1853
BZvet,357.4,npnziIaEiv,1907
GAzWAh,945.61,UwfSy,1251
OWonELNlsVcj,872.7,B,3565
TBzeLxtTcWY,343.97,QYnh,4598
gJ,443.94,bOk,4985
IorWdQnJMi,448.36,RRulFi,3236
UKJqMOxoEjrXiNm,629.18,Kxtqj,2137
bX,743.65,VjgRvBQCpaSRvRj,3529
SBkEAHhUJaG,875.9,RZilpGQbXcbT,1092
OAJftigAopXI,358.94,YuNLdFUpnCRWbt,2103
WDVC,53.2,XOFmBaafLe,4332
wzSGtcBYJmDu,197.3,JxymYukLlhrLmaw,3046
RO,24.41,kmjHAOiCq,831
ctnB,654.1,T,2008
KJKQpyVr,253.07,x,1965
nXT,51.02,Zj,701
VCJKNrEODyoq,231.1,INWzwFxwlyJ,4672
fvRYKMeh,577.92,NC,1874
YrJTUtzWyZqvg,422.98,ebYxK,2734
aKYuBAGb,899.6,WeP,2239
ttYROKhfRjc,22.17,EdqOHopnUdN,3291
NW,685.66,RusuLYxOZXBJRda,4017
TD,426.07,QUXhbKOnm,2435
eANPZCntU,50.31,lZLIbHksdGmona,1863
NfVMgXnDdnF,637.06,IhDLYkokJE,4077
bXjCs,64.67,CDGfgU,3100
OG,753.0,XJaboJEA,3044
KM,684.09,msSRDeTs,2487
NrGaPo,488.77,pmmRFkNHrQNh,3992
mBv,880.87,KHzDktdzj,3294
OJSXPmW,212.94,cnGek,3500
awDZHHjuojccfxI,272.7,Ftbcw,2813
CKfxKYgVQqy,156.27,uX,1534
r,326.43,l,746
mVQ,425.7,TSJLrISCBeJgb,2552
OqSqyihlaP,103.41,VpXNcSz,545
kwGTIGXaRnewAfx,502.82,llBpSbZUvfnyoj,4854
tBl,846.98,CqQn,2656
Ae,605.61,fusbaVCr,721
QCqRtXudYM,855.87,AeeK,1153
mcIYTqaAsSGPl,410.24,yLqpObdfhSLp,1776
Rjgm,206.98,seS,44
gC,229.98,XRNTTLbBQFl,2596
btqNHlbt,771.68,B,3723
FtYZxZcPv,275.56,Bb,3444
K,356.68,vuQhMxhoInSAFQN,548
fGBlGFhJNmzv,197.77,UHmvI,4415
lRHP,648.1,bJJcqUQt,3707
TeEZasTDOjRF,930.81,nFBhNk,4751
IYa,273.47,VqUAIMM,615
nSBwP,512.24,zWKFjZaVGDO,3748
gnENannpQlN,185.63,KeNLupBrmfh,2499
PISCleRLONfntJ,628.45,HU,3872
U,25.29,zrU,3254
MldzNCAuHGXdfgv,760.92,okJnAsETn,1925
ykFfG,229.09,RvAGDwhvbv,528
zh,861.09,aCqE,978
rCGRHUemO,545.96,zephbPFoGthCq,3929
GguaqdCDfeLwhT,397.53,zOYZHpOB,2258
sSeichzC,23.12,EwIwvRdXLAr,4033
qUJRalCICqSOBu,449.37,GRah,611
GPgNuXPEjni,718.85,MsSqyM,1305
T,369.58,oxssSEWOFknb,2933
HcYggsXXD,520.16,O,4443
V,94.74,TkvbGfqMOagpnor,3867
EYtkttGWt,7.13,ACztFgQObTfyyb,1958
fiIituF,225.81,MofPXAItKWF,773
IkndCbKKbVH,693.65,ndynLXnSRnTU,633
LGcgZAui,360.07,tNAwvnG,72
DZbgvJVuWdXy,301.78,CfySwsypyRtB,2011
vhyEFmDCGQ,634.59,SC,480
gTDBCpqLKABKyNS,988.26,xykjYnxU,4791
LmempKLNeFbCTk,713.48,yFvn,3224
HRaq,122.48,H,709
Gde,516.17,RJpvlxs,1835
NNLMrh,399.71,JUdKiCzQESK,2537
doeHrMdsFjRCg,721.92,xLCgivIaQY,1463
rT,654.66,BmOefoQkenjHI,1474
PzjWru,561.74,jHhPgZNvEOpX,1792
NtPI,708.1,SwlHMFjfbv,724
DnyRcRTvaagpmv,962.66,yQBQLehGHlbN,1290
nTHftnwZd,700.77,wzA,1423
GhdB,158.78,TpqWkUYU,130
iCiq,210.39,fCCM,3350
aAFvKrDqJQ,116.41,JiMr,1130
V,85.24,V,4824
BjY,576.4,bfZIXM,503
oXbgn,357.43,wpcaAKkx,4740
iMLKYuqXVfLj,396.52,jsTPlIChg,1582
LAjPblmvLnybcxl,225.69,cWaTxxxsuzjHLCN,2373
YtbFPBnRCSX,72.96,hcHNfsMVXXjBKJD,266
XXSusqB,985.35,souoQm,2426
lrLBPzAso,290.75,CElzhKzNU,3210
lSNVtodvNEyMtv,88.28,GyTlzFJecgUWQo,3551
RQebYslEUeg,524.87,gaSzRKsJdPMseQ,3581
qqJFaDVHyesjo,624.41,JDJxAzzjX,58
XXLgtQNlufBq,795.69,OzB,2500
MNFl,292.64,hyuNXQbH,422
lucpQClx,607.22,caOgxLccPqirp,1441
MEshGzuyAlNfa,880.94,gAGfBiaTj,2732
d,754.57,MTsmTh,823
wiQqNEqozvnLWb,107.98,s,845
uwixGwD,278.71,S,3678
czXrNNfQco,97.45,SFyoi,4436
YSZxyVRTYIXfmm,807.59,GMP,1430
fPjLxTcb,836.74,e,4554
DqSnTHJHuvXh,384.48,WdKsME,1164
xhnizbumAIU,403.75,xNMvYPURoafzt,2341
kXnacYmwK,161.94,WwPfuLqv,3488
AfIeJjRECYX,947.79,qdpGUdzVMsuJx,397
CabPyAcmJRelRkH,713.95,KDwceOIhnZxZ,4489
EYyu,593.52,xdwSMvfoqBcp,2575
Xw,743.35,ahOaKwMz,319
TnhAmTUIzGvR,564.53,pQAIHDW,2380
NHuGYbkkjDkeEr,975.82,gepWiqTgzCGSf,201
BDvPkzBiw,803.6,ZAhRVT,24
IHhg,326.67,ymcsBrQtCOxkJ,4594
YbwMLYFuhEIKU,529.87,vFAaTyDy,3386
XrndBGMYYPu,794.77,p,194
hHUUbhNZb,167.87,qkEiIs,3102
TknxrTt,744.0,GHntIklffRC,1000
solGnEfnIAya,203.4,XAhrjrEmP,1731
uQWvki,382.68,dA,793
SpXaAGQm,497.18,mjSOOTcJMA,434
DuezZ,449.28,TDsfFJvxFLqQ,1291
HxGFG,944.39,AKhxzkJJuZMcBw,1785
WUnLnbICn,103.79,Hbi,3125
ljDPWEETKZcpReP,263.31,n,2917
xj,322.41,zsIsm,4795
WNuzHNghgZMrFLF,474.01,UFcO,4973
YHKWILTn,281.2,ZgokD,939
chRn,210.29,dAdQVgjo,1571
eculoPbO,242.26,EEIgdzcltoziv,4390
kLllDL,595.53,UWm,931
D,424.28,OvAXyhA,4503
QkGdN,12.22,KcOLWUd,900
XmdhLUSgyDiznYj,851.37,CJwbAALEHdfVlr,2486
v,549.67,DpRxQgZUnRd,3578
fFu,566.52,rrsgFNldnk,4316
Jb,53.1,dvX,1600
JKolDeGoA,998.45,jgTydBd,3812
mXtTnsVa,26.64,PZeza,1767
gKDe,966.76,RvXa,2820
QOh,275.6,DvREQkpM,1820
JqalLekYIxj,563.4,veNgXcCkPx,2548
uNIJXqQJv,81.8,uoudPWOI,2922
IYkmZiKcnHe,222.21,jcI,2983
AXrTlmP,806.8,lWaUmic,506
ySsWDk,718.13,YEc,473
GIwQQXpLeSbAV,761.25,mapyPxl,2034
XTxWTpNpFpVGm,609.6,XlTP,4176
aWUAsFA,567.32,ltKOhcKbLelb,4279
